lifepro_coverage_id,authoritative_ql_plan_code,catalog_crosswalk_ql_plan_code,catalog_ql_plan_code_compat,catalog_mapping_status,master_crosswalk_new_value,quikplan_output_plan,effective_converter_plan,effective_source,matches_authoritative,discrepancy_type
1579 GPO,9GPO79,9GPO79,1579 GPO,CROSSWALK_DIVERGENT,,9GPO79,9GPO79,runtime_product_plan_map,Y,
1580 JPO,980JPO,980JPO,980JPO,STABLE_EMIT,980JPO,980JPO,980JPO,runtime_product_plan_map,Y,
1595,9595WP,9595WP,9595WP,STABLE_EMIT,9595WP,9595WP,9595WP,runtime_product_plan_map,Y,
1596,996ADB,996ADB,996ADB,STABLE_EMIT,996ADB,996ADB,996ADB,runtime_product_plan_map,Y,
1596 667,967ADB,967ADB,1596 667,CROSSWALK_DIVERGENT,,967ADB,967ADB,runtime_product_plan_map,Y,
1596 L01,901ADB,901ADB,901ADB,STABLE_EMIT,901ADB,901ADB,901ADB,runtime_product_plan_map,Y,
619 CH PU,719CTR,719CTR,619 CH PU,CROSSWALK_DIVERGENT,,719CTR,719CTR,runtime_product_plan_map,Y,
619 DT,7619DT,7619DT,7619DT,STABLE_EMIT,7619DT,7619DT,7619DT,runtime_product_plan_map,Y,
619 DT CH,719CDT,719CDT,719CDT,STABLE_EMIT,719CDT,719CDT,719CDT,runtime_product_plan_map,Y,
619 DT SP,719SDT,719SDT,719SDT,STABLE_EMIT,719SDT,719SDT,719SDT,runtime_product_plan_map,Y,
619 SPS PU,7619PU,7619PU,7619PU,STABLE_EMIT,7619PU,7619PU,7619PU,runtime_product_plan_map,Y,
621 END85,221END,221END,221END,STABLE_EMIT,221END,221END,221END,runtime_product_plan_map,Y,
621 PUA,121PUA,121PUA,621 PUA,CROSSWALK_DIVERGENT,121PUA,121PUA,121PUA,runtime_product_plan_map,Y,
622 END85,222END,222END,222END,STABLE_EMIT,222END,222END,222END,runtime_product_plan_map,Y,
630 JEB,130JEB,130JEB,630 JEB,CROSSWALK_DIVERGENT,,130JEB,130JEB,runtime_product_plan_map,Y,
646 ART,5646AT,5646AT,646 ART,CROSSWALK_DIVERGENT,,5646AT,5646AT,runtime_product_plan_map,Y,
647 FLP,7647FP,7647FP,7647FP,STABLE_EMIT,7647FP,7647FP,7647FP,runtime_product_plan_map,Y,
647 FLP CH,7647CH,7647CH,7647CH,STABLE_EMIT,7647CH,7647CH,7647CH,runtime_product_plan_map,Y,
647 FLP SP,7647SP,7647SP,7647SP,STABLE_EMIT,7647SP,7647SP,7647SP,runtime_product_plan_map,Y,
658 CEN I,1658C1,1658C1,1658C1,STABLE_EMIT,1658C1,1658C1,1658C1,runtime_product_plan_map,Y,
658 CEN SD,1658CS,1658CS,1658CS,STABLE_EMIT,1658CS,1658CS,1658CS,runtime_product_plan_map,Y,
659 CEN II,1659C2,1659C2,1659C2,STABLE_EMIT,1659C2,1659C2,1659C2,runtime_product_plan_map,Y,
659 CEN SD,1659CS,1659CS,1659CS,STABLE_EMIT,1659CS,1659CS,1659CS,runtime_product_plan_map,Y,
659 CEN SR,1659CR,1659CR,1659CR,STABLE_EMIT,1659CR,1659CR,1659CR,runtime_product_plan_map,Y,
659 SR GD,1659SR,1659SR,1659SR,STABLE_EMIT,1659SR,1659SR,1659SR,runtime_product_plan_map,Y,
665 PUA,265PUA,265PUA,265PUA,STABLE_EMIT,265PUA,265PUA,265PUA,runtime_product_plan_map,Y,
665 STME95,2665ST,2665ST,2665ST,STABLE_EMIT,2665ST,2665ST,2665ST,runtime_product_plan_map,Y,
666 WL,1666WL,1666WL,1666WL,STABLE_EMIT,1666WL,1666WL,1666WL,runtime_product_plan_map,Y,
667 ART,5667AT,5667AT,5667AT,STABLE_EMIT,5667AT,5667AT,5667AT,runtime_product_plan_map,Y,
667 ART CR,57ATCR,57ATCR,667 ART CR,CROSSWALK_DIVERGENT,,57ATCR,57ATCR,runtime_product_plan_map,Y,
668 SPWL,1668SP,1668SP,1668SP,STABLE_EMIT,1668SP,1668SP,1668SP,runtime_product_plan_map,Y,
669 SR GD,1669SR,1669SR,669 SR GD,CROSSWALK_DIVERGENT,,1669SR,1669SR,runtime_product_plan_map,Y,
670 GL85-8,170858,170858,170858,STABLE_EMIT,170858,170858,170858,runtime_product_plan_map,Y,
670 GL85-M,17085M,17085M,17085M,STABLE_EMIT,17085M,17085M,17085M,runtime_product_plan_map,Y,
670 GL8588,170588,170588,170588,STABLE_EMIT,170588,170588,170588,runtime_product_plan_map,Y,
670 PUA,170PUA,170PUA,170PUA,STABLE_EMIT,170PUA,170PUA,170PUA,runtime_product_plan_map,Y,
679 CEN SD,1679CS,1679CS,1679CS,STABLE_EMIT,1679CS,1679CS,1679CS,runtime_product_plan_map,Y,
686S 30MRG,7686S3,7686S3,686S 30MRG,CROSSWALK_DIVERGENT,,7686S3,7686S3,runtime_product_plan_map,Y,
687J 30MRG,7687J3,7687J3,687J 30MRG,CROSSWALK_DIVERGENT,,7687J3,7687J3,runtime_product_plan_map,Y,
690 DT 65,7690DT,7690DT,690 DT 65,CROSSWALK_DIVERGENT,,7690DT,7690DT,runtime_product_plan_map,Y,
8034 30MRG,934SWP,934SWP,8034 30MRG,CROSSWALK_DIVERGENT,,934SWP,934SWP,runtime_product_plan_map,Y,
8034 J30MT,934JWP,934JWP,8034 J30MT,CROSSWALK_DIVERGENT,,934JWP,934JWP,runtime_product_plan_map,Y,
8042 STR,542STR,542STR,542STR,STABLE_EMIT,542STR,542STR,542STR,runtime_product_plan_map,Y,
8042STR WP,9STRWP,9STRWP,9STRWP,STABLE_EMIT,9STRWP,9STRWP,9STRWP,runtime_product_plan_map,Y,
8043 CTR,543CTR,543CTR,543CTR,STABLE_EMIT,543CTR,543CTR,543CTR,runtime_product_plan_map,Y,
8043CTR WP,943CWP,943CWP,8043CTR WP,CROSSWALK_DIVERGENT,,943CWP,943CWP,runtime_product_plan_map,Y,
8046 JPO,9JPO46,9JPO46,8046 JPO,CROSSWALK_DIVERGENT,,9JPO46,9JPO46,runtime_product_plan_map,Y,
8115,9L05WP,9L05WP,9L05WP,STABLE_EMIT,9L05WP,9L05WP,9L05WP,runtime_product_plan_map,Y,
8115 L01,9L01WP,9L01WP,9L01WP,STABLE_EMIT,9L01WP,9L01WP,9L01WP,runtime_product_plan_map,Y,
826,560STR,560STR,560STR,STABLE_EMIT,560STR,560STR,560STR,runtime_product_plan_map,Y,
828,528CTR,528CTR,528CTR,STABLE_EMIT,528CTR,528CTR,528CTR,runtime_product_plan_map,Y,
8286 GI 1,986JPO,986JPO,986JPO,STABLE_EMIT,986JPO,986JPO,986JPO,runtime_product_plan_map,Y,
8286 GI 2+,982JPO,982JPO,982JPO,STABLE_EMIT,982JPO,982JPO,982JPO,runtime_product_plan_map,Y,
863,A60MIR,A60MIR,A60MIR,STABLE_EMIT,A60MIR,A60MIR,A60MIR,runtime_product_plan_map,Y,
889 960,960GIO,960GIO,960GIO,STABLE_EMIT,960GIO,960GIO,960GIO,runtime_product_plan_map,Y,
896 DAR,A96DAR,A96DAR,A96DAR,STABLE_EMIT,A96DAR,A96DAR,A96DAR,runtime_product_plan_map,Y,
897 666,1666AI,1666AI,1666AI,STABLE_EMIT,1666AI,1666AI,1666AI,runtime_product_plan_map,Y,
960 65 PUA,165PUA,165PUA,165PUA,STABLE_EMIT,165PUA,165PUA,165PUA,runtime_product_plan_map,Y,
960 LP PUA,185PUA,185PUA,185PUA,STABLE_EMIT,185PUA,185PUA,185PUA,runtime_product_plan_map,Y,
960 LP65,196065,196065,196065,STABLE_EMIT,196065,196065,196065,runtime_product_plan_map,Y,
960 LP85-M,196085,196085,196085,STABLE_EMIT,196085,196085,196085,runtime_product_plan_map,Y,
960 OL,1960OL,1960OL,1960OL,STABLE_EMIT,1960OL,1960OL,1960OL,runtime_product_plan_map,Y,
960 OL PUA,1OLPUA,1OLPUA,1OLPUA,STABLE_EMIT,1OLPUA,1OLPUA,1OLPUA,runtime_product_plan_map,Y,
960 PO,1960PO,1960PO,1960PO,STABLE_EMIT,1960PO,1960PO,1960PO,runtime_product_plan_map,Y,
960 PO PUA,1POPUA,1POPUA,1POPUA,STABLE_EMIT,1POPUA,1POPUA,1POPUA,runtime_product_plan_map,Y,
961 ME65,2961ME,2961ME,961 ME65,CROSSWALK_DIVERGENT,,2961ME,2961ME,runtime_product_plan_map,Y,
961 PUA,261PUA,261PUA,961 PUA,CROSSWALK_DIVERGENT,,261PUA,261PUA,runtime_product_plan_map,Y,
970 JEB,1970JB,1970JB,970 JEB,CROSSWALK_DIVERGENT,,1970JB,1970JB,runtime_product_plan_map,Y,
970 PUA,1970PA,1970PA,970 PUA,CROSSWALK_DIVERGENT,,1970PA,1970PA,runtime_product_plan_map,Y,
980 END65,280END,280END,280END,STABLE_EMIT,280END,280END,280END,runtime_product_plan_map,Y,
980 PUA,280PUA,280PUA,280PUA,STABLE_EMIT,280PUA,280PUA,280PUA,runtime_product_plan_map,Y,
991 PWL,1991PL,1991PL,1991PL,STABLE_EMIT,1991PL,1991PL,1991PL,runtime_product_plan_map,Y,
DISCHO20 B,9DIS20,9DIS20,9DIS20,STABLE_EMIT,,9DIS20,9DIS20,runtime_product_plan_map,Y,
DISCHO2475,9DIS24,9DIS24,9DIS25,CROSSWALK_DIVERGENT,9DIS25,9DIS24,9DIS24,runtime_product_plan_map,Y,
DISCHO247B,9DS24B,9DS24B,DISCHO247B,CROSSWALK_DIVERGENT,,9DS24B,9DS24B,runtime_product_plan_map,Y,
DISCHO247C,9DS24C,9DS24C,9DIS25,CROSSWALK_DIVERGENT,9DIS25,9DS24C,9DS24C,runtime_product_plan_map,Y,
DISCHO25,9DIS25,9DIS25,9DIS25,STABLE_EMIT,9DIS25,9DIS25,9DIS25,runtime_product_plan_map,Y,
DISCHO29,9DIS29,9DIS29,DISCHO29,CROSSWALK_DIVERGENT,,9DIS29,9DIS29,runtime_product_plan_map,Y,
DISCHO70,9DIS70,9DIS70,9DIS70,STABLE_EMIT,9DIS70,9DIS70,9DIS70,runtime_product_plan_map,Y,
DISCHO80,9DIS80,9DIS80,9DIS80,STABLE_EMIT,9DIS80,9DIS80,9DIS80,runtime_product_plan_map,Y,
DISCHO90,9DIS90,9DIS90,9DIS90,STABLE_EMIT,9DIS90,9DIS90,9DIS90,runtime_product_plan_map,Y,
L01 10Y LT,5L0110,5L0110,5L0110,STABLE_EMIT,5L0110,5L0110,5L0110,runtime_product_plan_map,Y,
L01 10Y MA,5L01MA,5L01MA,L01 10Y MA,CROSSWALK_DIVERGENT,,5L01MA,5L01MA,runtime_product_plan_map,Y,
L05 10Y LT,5L0510,5L0510,5L0510,STABLE_EMIT,5L0510,5L0510,5L0510,runtime_product_plan_map,Y,
L07 5Y LT,5L075Y,5L075Y,5L075Y,STABLE_EMIT,5L075Y,5L075Y,5L075Y,runtime_product_plan_map,Y,
L10 ADB,9ADB10,9ADB10,9ADB10,STABLE_EMIT,9ADB10,9ADB10,9ADB10,runtime_product_plan_map,Y,
L10 CDT,5CDT10,5CDT10,5CDT10,STABLE_EMIT,5CDT10,5CDT10,5CDT10,runtime_product_plan_map,Y,
L10 GPO,9GPO10,9GPO10,9GPO10,STABLE_EMIT,9GPO10,9GPO10,9GPO10,runtime_product_plan_map,Y,
L10 JPO,9JPO10,9JPO10,9JPO10,STABLE_EMIT,9JPO10,9JPO10,9JPO10,runtime_product_plan_map,Y,
L10 LP95,1L1095,1L1095,1L1095,STABLE_EMIT,1L1095,1L1095,1L1095,runtime_product_plan_map,Y,
L10 LP95SR,1L10SR,1L10SR,1L10SR,STABLE_EMIT,1L10SR,1L10SR,1L10SR,runtime_product_plan_map,Y,
L10 PRE97,1L10OD,1L10OD,L10 PRE97,CROSSWALK_DIVERGENT,,1L10OD,1L10OD,runtime_product_plan_map,Y,
L10 PREUNI,1L10PR,1L10PR,L10 PREUNI,CROSSWALK_DIVERGENT,,1L10PR,1L10PR,runtime_product_plan_map,Y,
L10 SDT,7SDT10,7SDT10,7SDT10,STABLE_EMIT,7SDT10,7SDT10,7SDT10,runtime_product_plan_map,Y,
L10 SPSWP,910SWP,910SWP,L10 SPSWP,CROSSWALK_DIVERGENT,,910SWP,910SWP,runtime_product_plan_map,Y,
L10 SR OLD,1L10SO,1L10SO,1L10SO,STABLE_EMIT,1L10SO,1L10SO,1L10SO,runtime_product_plan_map,Y,
L10 WP,9WPL10,9WPL10,9WPL10,STABLE_EMIT,9WPL10,9WPL10,9WPL10,runtime_product_plan_map,Y,
L10 WP CDT,9CDTWP,9CDTWP,9CDTWP,STABLE_EMIT,9CDTWP,9CDTWP,9CDTWP,runtime_product_plan_map,Y,
L10 WP OLD,9OLDWP,9OLDWP,9OLDWP,STABLE_EMIT,9OLDWP,9OLDWP,9OLDWP,runtime_product_plan_map,Y,
L10 WP SRN,910RWP,910RWP,L10 WP SRN,CROSSWALK_DIVERGENT,,910RWP,910RWP,runtime_product_plan_map,Y,
L14,1L14SC,1L14SC,1L14SC,STABLE_EMIT,1L14SC,1L14SC,1L14SC,runtime_product_plan_map,Y,
L15,1L15GD,1L15GD,1L15GD,STABLE_EMIT,1L15GD,1L15GD,1L15GD,runtime_product_plan_map,Y,
L15 ADB,9ADB15,9ADB15,9ADB15,STABLE_EMIT,9ADB15,9ADB15,9ADB15,runtime_product_plan_map,Y,
L16,1L16GD,1L16GD,1L16GD,STABLE_EMIT,1L16GD,1L16GD,1L16GD,runtime_product_plan_map,Y,
L16POLFEE,9L16PF,9L16PF,9L16PF,STABLE_EMIT,,9L16PF,9L16PF,runtime_product_plan_map,Y,
L17 1,10L171,10L171,10L171,STABLE_EMIT,10L171,10L171,10L171,runtime_product_plan_map,Y,
L17 1 JPO,117JPO,117JPO,117JPO,STABLE_EMIT,117JPO,117JPO,117JPO,runtime_product_plan_map,Y,
L17 2+,10L172,10L172,10L172,STABLE_EMIT,10L172,10L172,10L172,runtime_product_plan_map,Y,
L17 2+ JPO,17MJPO,17MJPO,17MJPO,STABLE_EMIT,17MJPO,17MJPO,17MJPO,runtime_product_plan_map,Y,
L17 BASE,1L17SP,1L17SP,1L17SP,STABLE_EMIT,,1L17SP,1L17SP,runtime_product_plan_map,Y,
SAL ADB,9SLADB,9SLADB,9SLADB,STABLE_EMIT,9SLADB,9SLADB,9SLADB,runtime_product_plan_map,Y,
SAL ML,1SALML,1SALML,1SALML,STABLE_EMIT,1SALML,1SALML,1SALML,runtime_product_plan_map,Y,
SAL MULTPL,1SALMI,1SALMI,1SALMI,STABLE_EMIT,1SALMI,1SALMI,1SALMI,runtime_product_plan_map,Y,
SAL OL,1SALOL,1SALOL,1SALOL,STABLE_EMIT,1SALOL,1SALOL,1SALOL,runtime_product_plan_map,Y,
WP 646,9WP646,9WP646,WP 646,CROSSWALK_DIVERGENT,,9WP646,9WP646,runtime_product_plan_map,Y,
