lifepro_coverage_id,ql_plan_code,ql_form_number,ql_plan_description,ql_friendly_name,source_file
670 GL8588,170588,670 GL8588,Life Paid Up at 85/88,Life Policy - Paid Up M Age 85 F Age 88,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
670 GL85-8,170858,670 GL85-8,Life Paid Up at 85/88,Life Policy - Paid Up M Age 85 F Age 88,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
670 GL85-M,17085M,670 GL85-M,Life Paid Up at 85/88,Life Policy - Paid Up M Age 85 F Age 88,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
670 PUA,170PUA,670 PUA,Paid Up Adds - Life Paid Up at 85/88,"PUAs for 670 GL 8588, 85-8, 85-M",C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
10827 CSI3,17CSI3,10827 CSI3,CSI Life $3000,Graded Death Benefit WL - 100% after Yr2,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
10827 CSI5,17CSI5,10827 CSI5,CSI Life $5000,Graded Death Benefit WL - 100% after Yr2,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
10827 CSI7,17CSI7,10827 CSI7,CSI Life $7500,Graded Death Benefit WL - 100% after Yr2,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
L17 2+ JPO,17MJPO,L17 2+ JPO,L17 Multi Juvenile Purchase Option,Multi Juvenile Purchase Option - L17,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
960 LP PUA,185PUA,960 LP PUA,Paid Up Adds - Life PU at Age 85-88,PUA - 960 LP85-M,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
960 LP65,196065,960 LP65,Life Paid Up at Age 65,Life Paid Up at Age 65,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
960 LP85-M,196085,960 LP85-M,Life Paid Up at Age 85-88,Life Policy - Paid Up M Age 85 F Age 88,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
960 OL,1960OL,960 OL,Ordinary Whole Life,Ordinary Whole Life,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
960 PO,1960PO,960 PO,Preferred Ordinary Whole Life,Preferred Ordinary Whole Life,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
991 PWL,1991PL,991 PWL,Pension Whole Life,All Pension Whole Life in RPU status,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
L10 LP95,1L1095,L10 LP95,L10 - LPU95     POST 1997 LIFE,Whole Life payable to age 95 - Jr,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
L10 SR OLD,1L10SO,L10 SR OLD,L10 - LPU95  SR.     PRE 1997,Whole Life payable to age 95 - Sr,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
L10 LP95SR,1L10SR,L10 LP95SR,L10 - LPU95   POST 1997  Senior Life,Whole Life payable to age 95 - Sr,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
L14,1L14SC,L14,Whole Life,SecureChoice Life: Graded DB WL,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
960 OL PUA,1OLPUA,960 OL PUA,Paid Up Adds - Ordinary Whole Life,PUAs for 960 OL,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
960 PO PUA,1POPUA,960 PO PUA,Paid Up Adds - Pref Ordinary Whole Life,PUAs for 960 PO,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
SAL MULTPL,1SALMI,SAL MULTPL,Multiple Insureds SAL Modified Life,Multiple Insureds - SAL ML,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
SAL ML,1SALML,SAL ML,Modified Life,Standard American Modified Life,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
SAL OL,1SALOL,SAL OL,Ordinary Whole Life,Standard American Ordinary Life,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
621 END85,221END,621 END85,Endowment at Age 85,Endowment at Age 85,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
622 END85,222END,622 END85,20 Pay Endowment at Age 85,"Endowment at age 85, Prem Pay for 20Yr",C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
665 PUA,265PUA,665 PUA,Paid Up Adds - Statesman Mod Endow at 95,PUAs for 665 STME95,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
665 STME95,2665ST,665 STME95,Statesman Mod Endow at 95,Modified Premium Endowment at age 95,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
980 END65,280END,980 END65,Endowment at Age 65,Endowment at Age 65,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
980 PUA,280PUA,980 PUA,Paid Up Adds - Endowment at Age 65,PUAs for 980 END65,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
828,528CTR,828,Child's Term Insurance,"CTR for 960 LP65, 960 OL, 960 PO",C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
8042 STR,542STR,8042 STR,Spouse Term Rider,Spouse Term Rider - 658 CEN I,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
8043 CTR,543CTR,8043 CTR,Dependent Child Term Rider,Dependent Child Term Rider,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
826,560STR,826,Paid Up Spouse Term Rider,"Paid Up STR - 960 LP85-M, 960 OL, 960 PO",C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
667 ART,5667AT,667 ART,Annual Renewable Term,Annual Renewable Term,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
1578 CTR,578CTR,1578 CTR,Dependent Child Term Rider,Dependent CTR - 658 CEN I,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
L10 CDT,5CDT10,L10 CDT,L10 CHILD TERM RIDER,"CTR - L10 LP95, L10 OLD",C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
L01 10Y LT,5L0110,L01 10Y LT,Ten Year Level Term to Age 95,Ten Year Level Term to Age 95,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
L05 10Y LT,5L0510,L05 10Y LT,Ten Year Term to Age 85,Ten Year Term to Age 85,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
L07 5Y LT,5L075Y,L07 5Y LT,Five Year Term to Age 85,Five Year Term to Age 85,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
619 DT CH,719CDT,619 DT CH,Child Decreasing Term,Child Decreasing Term - 619 DT,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
619 DT SP,719SDT,619 DT SP,Spouse Decreasing Term,Spouse Decreasing Term - 619 DT,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
619 DT,7619DT,619 DT,Decreasing Term,Decreasing Term to age 65,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
619 SPS PU,7619PU,619 SPS PU,Decreasing Term Paid Up for Spouse,Decreasing Term to age 65,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
647 FLP CH,7647CH,647 FLP CH,Child - Family Life Decreasing Term,Child Family Decr Term - 647 FLP,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
647 FLP,7647FP,647 FLP,Family Life Decreasing Term,Family Life Decr Term - 647 FLP,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
647 FLP SP,7647SP,647 FLP SP,Spouse - Family Life Decreasing Term,Spouse Family Life Decr Term - 647 FLP,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
1578 FTR,778FTR,1578 FTR,FAMILY TERM RIDER,"FTR - 658 CEN I, 658 CEN SD, 659 CEN II",C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
L10 SDT,7SDT10,L10 SDT,L10 Spouse Decreasing Term,L10 Spouse Decr Term - L10 OLD,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
1596 L01,901ADB,1596 L01,Accidental Death Benefit Rider,Accidental DB Rider -  L01 10Y LT,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
0823 960LP,9065WP,0823 960LP,Waiver of Premium,Waiver of Premium - 960 LP65,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
0823 96085,9085WP,0823 96085,Waiver of Premium - LPU at 85/88,Waiver of Premium - 960 LP85-M,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
0823 960OL,90OLWP,0823 960OL,Waiver of Premium,Waiver of Premium - 960 OL,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
0824 P DTH,90PDTH,0824 P DTH,Payor Death,Payor Death - 960 OL,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
0823 960PO,90POWP,0823 960PO,Waiver of Premium,Waiver of Premium - 960 PO,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
0822 620,920ADB,0822 620,Accidental Death Benefit,Accidental DB - 621 END85,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
1595,9595WP,1595,Disability Waiver of Premium,Disability Wavier of Prem - 667 ART,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
0822 960,960ADB,0822 960,Accidental Death Benefit,"Accidental DB - 960 LP85-M, 960 OL",C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
889 960,960GIO,889 960,960 Guarantee Insurability Option,Guarantee Insurability Option - 960 OL,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
0823 960SP,960SWP,0823 960SP,Waiver of Premium - Spouse,"Spouse Waiv of Prem - 960 LP85-M, 960 PO",C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
0822 665,965ADB,0822 665,Accidental Death Benefit,Accidental DB - 665 STME95,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
0823 665,9665WP,0823 665,Waiver of Premium,Waiver of Prem - 665 STME95,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
1576 658,976658,1576 658,Disability Waiver of Premium Rider,Disability Waiver of Prem - 658 CEN I,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
1576 659,976659,1576 659,Disability Waiver of Premium Rider,Disability Waiver of Prem - 659 CEN II,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
1577 ADB,977ADB,1577 ADB,Accidental Death Benefit Rider,"Accidental DB - 658 CEN I, 659 CEN II",C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
1580 JPO,980JPO,1580 JPO,Juvenile Future Purchase Option Rider,"Juv Fut Purch Op - 658 CEN I, 659 CEN II",C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
8286 GI 2+,982JPO,8286 GI 2+,Juvenile Future Purchase Option,Juv Future Purchase Option - L17,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
8286 GI 1,986JPO,8286 GI 1,Juvenile Future Purchase Option,Juv Future Purchase Option - L17,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
0823 896,9896WP,0823 896,Waiver of Premium,Waiver of Premium - 665 STME95,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
1596,996ADB,1596,Accidental Death Benefit Rider,"Accidental DB - L05 10Y LT, L07 5Y LT",C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
L10 ADB,9ADB10,L10 ADB,L10 Accidental Death Benefit,"Acc DB - L10 LP95, L10 OLD, L10 SR OLD",C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
L15 ADB,9ADB15,L15 ADB,Inherent Accidental Death (3 yr) for L15,Inherent Accidental Death (3 yr) for L15,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
L10 WP CDT,9CDTWP,L10 WP CDT,L10 Child WP,Child Waiver of Prem -  L10 LP95,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
1578CTR WP,9CTRWP,1578CTR WP,1578 CTR Waiver of Premium,1578 CTR WAIVER OF PREMIUM,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
1578FTR WP,9FTRWP,1578FTR WP,1578 FTR Waiver of Premium,"FTR Waiv of Prem - 658 CEN I, 659 CEN II",C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
L10 GPO,9GPO10,L10 GPO,L10 GPO OLD,"GPO OLD - L10 LP95, L10 OLD",C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
L10 JPO,9JPO10,L10 JPO,L10 Juvenile Purchase Option - OLD,"Juv Purch Option - L10 LP95, OLD, SR OLD",C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
8115 L01,9L01WP,8115 L01,Disability Waiver of Premium Rider,Disability Waiver of Premium - L01 10YLT,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
8115,9L05WP,8115,Disability Waiver of Premium Rider,Disability Waiver of Premium - L05 10YLT,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
L10 WP OLD,9OLDWP,L10 WP OLD,Waiver of Premium - L10,Waiver of Premium - L10 OLD,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
0822 960PO,9POADB,0822 960PO,Accidental Death Benefit,Accidental Death Benefit - 960 PO,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
SAL ADB,9SLADB,SAL ADB,SAL Accidental Death Benefit,Accidental Death Benefit - SAL ML,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
8042STR WP,9STRWP,8042STR WP,8042 STR Waiver of Premium,STR Waiver of Premium - 658 CEN I,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
L10 WP,9WPL10,L10 WP,L10 Waiver of Premium   Post 1997,Waiver of Premium - L10 LP95,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
863,A60MIR,863,Monthly Income Rider,"Monthly Income Rider- 960 LP85-M, 960 PO",C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
896 DAR,A96DAR,896 DAR,Deposit Annuity Rider,Deposit Annuity Rider - 665 STME95,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
L15,1L15GD,L15,Graded Death Benefit Whole Life,"WL - 100% Yr 4, 101% of CV after 100",C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
L16,1L16GD,L16,Graded Death Benefit Whole Life,"WL - 100% Yr 3, 101% of CV after 100",C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
L16POLFEE,9L16PF,L16POLFEE,Graded Death Benefit,Graded Death Benefit,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
L17 BASE,1L17SP,L17,Single Premium Whole Life,Whole Life: Lev DB to 100; 101% CV,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
0823 960CH,960CWP,0823 960CH,Waiver of Premium - Child,Waiver of Premium - Child,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
0824 P DIS,94PDIS,0824 P DIS,& Payor Disability Rider,& Payor Disability Rider,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
10827 MN5K,1CSIMN,10827 MN5K,CSI Life MN $5000,CSI Life MN $5000,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
1578 SPSPU,578STR,1578 SPSPU,Paid Up Spouse Term Rider,Paid Up Spouse Term Rider,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
1579 GPO,9GPO79,1579 GPO,Guaranteed Purchase Option Rider,Guaranteed Purchase Option Rider,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
1596 667,967ADB,1596 667,Accidental Death Benefit Rider,Accidental Death Benefit Rider,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
619 CH PU,719CTR,619 CH PU,Decr Term Paid Up for Child,Decr Term Paid Up for Child,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
621 PUA,121PUA,621 PUA,Paid Up Adds - Endowment at Age 85,Paid Up Adds - Endowment at Age 85,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
630 JEB,130JEB,630 JEB,Juvenile Estate Builder Life Pd Up at 65,Juvenile Estate Builder Life Pd Up at 65,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
646 ART,5646AT,646 ART,Annual Renewable Term,Annual Renewable Term,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
667 ART CR,57ATCR,667 ART CR,ART Preferred Credit Life,ART Preferred Credit Life,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
669 SR GD,1669SR,669 SR GD,Interest-Sensitive Whole Life,Interest-Sensitive Whole Life,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
686S 30MRG,7686S3,686S 30MRG,Decreasing Term Life,Decreasing Term Life,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
687J 30MRG,7687J3,687J 30MRG,Joint Decreasing Term Life,Joint Decreasing Term Life,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
690 DT 65,7690DT,690 DT 65,Dec Term to 65 Convertible,Dec Term to 65 Convertible,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
