MPOLICY,TYPE_CODE,SOURCE_COL,SOURCE_RAW,CURRENT_MNFOPT,SIM_CURRENT,SIM_PROPOSED,WOULD_CHANGE
010380550C,BA,NON_FORFEITURE,1,0,1,1,True
010380625C,BA,NON_FORFEITURE,1,2,1,1,True
010380627C,BA,NON_FORFEITURE,1,1,1,1,False
010380808C,BA,NON_FORFEITURE,1,1,1,1,False
010381516C,BA,NON_FORFEITURE,4,3,0,0,True
010381745C,BA,NON_FORFEITURE,4,0,0,0,False
010382426C,BA,NON_FORFEITURE,4,0,0,0,False
010382448C,BA,NON_FORFEITURE,4,2,0,0,True
010382520C,BA,NON_FORFEITURE,1,0,1,1,True
010382931C,BA,NON_FORFEITURE,4,0,0,0,False
010385491C,BA,NON_FORFEITURE,4,0,0,0,False
010385636C,BA,NON_FORFEITURE,1,1,1,1,False
010388767C,BA,NON_FORFEITURE,4,0,0,0,False
010389651C,BA,NON_FORFEITURE,4,0,0,0,False
010389802C,BA,NON_FORFEITURE,4,0,0,0,False
010390061C,BA,NON_FORFEITURE,4,0,0,0,False
010390251C,BA,NON_FORFEITURE,4,2,0,0,True
010391004C,BA,NON_FORFEITURE,4,0,0,0,False
010391228C,BA,NON_FORFEITURE,1,1,1,1,False
010391355C,BA,NON_FORFEITURE,4,2,0,0,True
010391359C,BA,NON_FORFEITURE,2,2,2,1,True
010391411C,BA,NON_FORFEITURE,4,0,0,0,False
010391422C,BA,NON_FORFEITURE,4,0,0,0,False
010391582C,BA,NON_FORFEITURE,4,0,0,0,False
010391679C,BA,NON_FORFEITURE,4,0,0,0,False
010391840C,BA,NON_FORFEITURE,4,0,0,0,False
010391841C,BA,NON_FORFEITURE,4,2,0,0,True
010391876C,BA,NON_FORFEITURE,4,2,0,0,True
010391878C,BA,NON_FORFEITURE,4,2,0,0,True
010391895C,BA,NON_FORFEITURE,4,0,0,0,False
010392117C,BA,NON_FORFEITURE,4,0,0,0,False
010392138C,BA,NON_FORFEITURE,4,0,0,0,False
010392493C,BA,NON_FORFEITURE,4,0,0,0,False
010392763C,BA,NON_FORFEITURE,5,0,0,0,False
010392930C,BA,NON_FORFEITURE,4,2,0,0,True
010393142C,BA,NON_FORFEITURE,4,0,0,0,False
010393143C,BA,NON_FORFEITURE,4,0,0,0,False
010393158C,BA,NON_FORFEITURE,4,0,0,0,False
010393181C,BA,NON_FORFEITURE,4,0,0,0,False
010393401C,BA,NON_FORFEITURE,4,0,0,0,False
010393899C,BA,NON_FORFEITURE,4,0,0,0,False
010393931C,BA,NON_FORFEITURE,4,3,0,0,True
010394249C,BA,NON_FORFEITURE,4,0,0,0,False
010394353C,BA,NON_FORFEITURE,4,0,0,0,False
010394662C,BA,NON_FORFEITURE,4,0,0,0,False
010395098C,BA,NON_FORFEITURE,4,2,0,0,True
010395211C,BA,NON_FORFEITURE,4,0,0,0,False
010395382C,BA,NON_FORFEITURE,5,0,0,0,False
010395411C,BA,NON_FORFEITURE,4,0,0,0,False
010395761C,BA,NON_FORFEITURE,4,0,0,0,False
010395878C,BA,NON_FORFEITURE,4,0,0,0,False
010395879C,BA,NON_FORFEITURE,4,0,0,0,False
010396147C,BA,NON_FORFEITURE,4,0,0,0,False
010396186C,BA,NON_FORFEITURE,4,0,0,0,False
010396425C,BA,NON_FORFEITURE,4,0,0,0,False
010397118C,BA,NON_FORFEITURE,4,0,0,0,False
010397318C,BA,NON_FORFEITURE,5,3,0,0,True
010397493C,BA,NON_FORFEITURE,4,0,0,0,False
010397528C,BA,NON_FORFEITURE,4,0,0,0,False
010397583C,BA,NON_FORFEITURE,4,0,0,0,False
010397945C,BA,NON_FORFEITURE,4,0,0,0,False
010398274C,BA,NON_FORFEITURE,4,0,0,0,False
010398471C,BA,NON_FORFEITURE,5,0,0,0,False
010398475C,BA,NON_FORFEITURE,4,0,0,0,False
010398591C,BA,NON_FORFEITURE,4,0,0,0,False
010399927C,BA,NON_FORFEITURE,4,0,0,0,False
010400462C,BA,NON_FORFEITURE,4,0,0,0,False
010401087C,BA,NON_FORFEITURE,4,0,0,0,False
010401181C,BA,NON_FORFEITURE,4,0,0,0,False
010401210C,BA,NON_FORFEITURE,4,0,0,0,False
010401534C,BA,NON_FORFEITURE,4,2,0,0,True
010401565C,BA,NON_FORFEITURE,4,2,0,0,True
010402010C,BA,NON_FORFEITURE,4,2,0,0,True
010402014C,BA,NON_FORFEITURE,4,2,0,0,True
010402060C,BA,NON_FORFEITURE,4,0,0,0,False
010402061C,BA,NON_FORFEITURE,4,0,0,0,False
010402105C,BA,NON_FORFEITURE,4,0,0,0,False
010402899C,BA,NON_FORFEITURE,4,2,0,0,True
010403109C,BA,NON_FORFEITURE,4,0,0,0,False
010403117C,BA,NON_FORFEITURE,4,0,0,0,False
010403222C,BA,NON_FORFEITURE,4,0,0,0,False
010403516C,BA,NON_FORFEITURE,4,0,0,0,False
010403789C,BA,NON_FORFEITURE,4,0,0,0,False
010403872C,BA,NON_FORFEITURE,4,2,0,0,True
010403916C,BA,NON_FORFEITURE,5,3,0,0,True
010403922C,BA,NON_FORFEITURE,4,0,0,0,False
010404600C,BA,NON_FORFEITURE,4,0,0,0,False
010404602C,BA,NON_FORFEITURE,4,2,0,0,True
010404604C,BA,NON_FORFEITURE,4,2,0,0,True
010404605C,BA,NON_FORFEITURE,4,2,0,0,True
010404857C,BA,NON_FORFEITURE,4,0,0,0,False
010405175C,BA,NON_FORFEITURE,5,3,0,0,True
010405440C,BA,NON_FORFEITURE,4,0,0,0,False
010405642C,BA,NON_FORFEITURE,5,3,0,0,True
010405802C,BA,NON_FORFEITURE,4,0,0,0,False
010405858C,BA,NON_FORFEITURE,5,0,0,0,False
010406576C,BA,NON_FORFEITURE,4,0,0,0,False
010406795C,BA,NON_FORFEITURE,4,0,0,0,False
010406962C,BA,NON_FORFEITURE,4,3,0,0,True
010407023C,BA,NON_FORFEITURE,1,1,1,1,False
010407237C,BA,NON_FORFEITURE,4,3,0,0,True
010407533C,BA,NON_FORFEITURE,4,0,0,0,False
010407534C,BA,NON_FORFEITURE,4,0,0,0,False
010407670C,BA,NON_FORFEITURE,4,3,0,0,True
010407925C,BA,NON_FORFEITURE,4,0,0,0,False
010408371C,BA,NON_FORFEITURE,4,0,0,0,False
010410566C,BA,NON_FORFEITURE,5,0,0,0,False
010410616C,BA,NON_FORFEITURE,4,0,0,0,False
010410714C,BA,NON_FORFEITURE,4,0,0,0,False
010411499C,BA,NON_FORFEITURE,4,0,0,0,False
010411577C,BA,NON_FORFEITURE,4,0,0,0,False
010411727C,BA,NON_FORFEITURE,1,0,1,1,True
010411920C,BA,NON_FORFEITURE,1,1,1,1,False
010412522C,BA,NON_FORFEITURE,1,1,1,1,False
010412525C,BA,NON_FORFEITURE,4,0,0,0,False
010412526C,BA,NON_FORFEITURE,4,0,0,0,False
010412640C,BA,NON_FORFEITURE,4,0,0,0,False
010412641C,BA,NON_FORFEITURE,4,0,0,0,False
010413417C,BA,NON_FORFEITURE,4,0,0,0,False
010413421C,BA,NON_FORFEITURE,4,0,0,0,False
010413628C,BA,NON_FORFEITURE,4,0,0,0,False
010413745C,BA,NON_FORFEITURE,1,1,1,1,False
010414235C,BA,NON_FORFEITURE,4,0,0,0,False
010415834C,BA,NON_FORFEITURE,4,0,0,0,False
010417200C,BA,NON_FORFEITURE,4,0,0,0,False
010417838C,BA,NON_FORFEITURE,4,0,0,0,False
010418088C,BA,NON_FORFEITURE,1,0,1,1,True
010418562C,BA,NON_FORFEITURE,4,0,0,0,False
010419054C,BA,NON_FORFEITURE,4,0,0,0,False
010420853C,BA,NON_FORFEITURE,4,0,0,0,False
010420983C,BA,NON_FORFEITURE,4,0,0,0,False
010422033C,BA,NON_FORFEITURE,4,0,0,0,False
010422221C,BA,NON_FORFEITURE,4,0,0,0,False
010422417C,BA,NON_FORFEITURE,1,0,1,1,True
010422722C,BA,NON_FORFEITURE,4,0,0,0,False
010422977C,BA,NON_FORFEITURE,1,1,1,1,False
010423540C,BA,NON_FORFEITURE,4,0,0,0,False
010424185C,BA,NON_FORFEITURE,4,2,0,0,True
010424798C,BA,NON_FORFEITURE,4,0,0,0,False
010425718C,BA,NON_FORFEITURE,4,0,0,0,False
010425720C,BA,NON_FORFEITURE,4,0,0,0,False
010425845C,BA,NON_FORFEITURE,5,0,0,0,False
010425928C,BA,NON_FORFEITURE,4,0,0,0,False
010425941C,BA,NON_FORFEITURE,1,1,1,1,False
010425942C,BA,NON_FORFEITURE,1,0,1,1,True
010425944C,BA,NON_FORFEITURE,1,1,1,1,False
010426657C,BA,NON_FORFEITURE,4,0,0,0,False
010426747C,BA,NON_FORFEITURE,1,1,1,1,False
010426858C,BA,NON_FORFEITURE,4,0,0,0,False
010426859C,BA,NON_FORFEITURE,4,0,0,0,False
010426961C,BA,NON_FORFEITURE,4,0,0,0,False
010427442C,BA,NON_FORFEITURE,4,3,0,0,True
010427456C,BA,NON_FORFEITURE,4,0,0,0,False
010427457C,BA,NON_FORFEITURE,4,0,0,0,False
010427723C,BA,NON_FORFEITURE,4,0,0,0,False
010428258C,BA,NON_FORFEITURE,4,2,0,0,True
010428259C,BA,NON_FORFEITURE,4,2,0,0,True
010428688C,BA,NON_FORFEITURE,4,2,0,0,True
010428747C,BA,NON_FORFEITURE,1,3,1,1,True
010428771C,BA,NON_FORFEITURE,4,0,0,0,False
010429064C,BA,NON_FORFEITURE,4,0,0,0,False
010429066C,BA,NON_FORFEITURE,4,0,0,0,False
010429259C,BA,NON_FORFEITURE,1,1,1,1,False
010429417C,BA,NON_FORFEITURE,1,0,1,1,True
010429532C,BA,NON_FORFEITURE,4,0,0,0,False
010429558C,BA,NON_FORFEITURE,4,0,0,0,False
010429710C,BA,NON_FORFEITURE,4,0,0,0,False
010429711C,BA,NON_FORFEITURE,4,0,0,0,False
010429893C,BA,NON_FORFEITURE,4,3,0,0,True
010429958C,BA,NON_FORFEITURE,4,0,0,0,False
010429965C,BA,NON_FORFEITURE,4,0,0,0,False
010430017C,BA,NON_FORFEITURE,4,0,0,0,False
010430023C,BA,NON_FORFEITURE,4,0,0,0,False
010430086C,BA,NON_FORFEITURE,4,0,0,0,False
010430295C,BA,NON_FORFEITURE,4,0,0,0,False
010430296C,BA,NON_FORFEITURE,4,0,0,0,False
010430993C,BA,NON_FORFEITURE,4,0,0,0,False
010431301C,BA,NON_FORFEITURE,1,1,1,1,False
010431510C,BA,NON_FORFEITURE,4,0,0,0,False
010431738C,BA,NON_FORFEITURE,4,0,0,0,False
010432120C,BA,NON_FORFEITURE,5,3,0,0,True
010432254C,BA,NON_FORFEITURE,4,0,0,0,False
010432414C,BA,NON_FORFEITURE,4,0,0,0,False
010432493C,BA,NON_FORFEITURE,4,2,0,0,True
010432494C,BA,NON_FORFEITURE,4,2,0,0,True
010432631C,BA,NON_FORFEITURE,4,0,0,0,False
010432782C,BA,NON_FORFEITURE,4,0,0,0,False
010432865C,BA,NON_FORFEITURE,4,0,0,0,False
010432866C,BA,NON_FORFEITURE,4,0,0,0,False
010433471C,BA,NON_FORFEITURE,5,3,0,0,True
010433630C,BA,NON_FORFEITURE,4,0,0,0,False
010433786C,BA,NON_FORFEITURE,4,0,0,0,False
010434092C,BA,NON_FORFEITURE,4,0,0,0,False
010434418C,BA,NON_FORFEITURE,1,1,1,1,False
010434419C,BA,NON_FORFEITURE,4,0,0,0,False
010434421C,BA,NON_FORFEITURE,4,0,0,0,False
010434422C,BA,NON_FORFEITURE,4,0,0,0,False
010434424C,BA,NON_FORFEITURE,4,0,0,0,False
010434544C,BA,NON_FORFEITURE,4,0,0,0,False
010434659C,BA,NON_FORFEITURE,4,0,0,0,False
010434747C,BA,NON_FORFEITURE,4,0,0,0,False
010434876C,BA,NON_FORFEITURE,4,0,0,0,False
010435244C,BA,NON_FORFEITURE,4,0,0,0,False
010435248C,BA,NON_FORFEITURE,4,0,0,0,False
010435466C,BA,NON_FORFEITURE,5,0,0,0,False
010435609C,BA,NON_FORFEITURE,4,0,0,0,False
010435671C,BA,NON_FORFEITURE,1,1,1,1,False
010435672C,BA,NON_FORFEITURE,1,0,1,1,True
010435673C,BA,NON_FORFEITURE,1,1,1,1,False
010436028C,BA,NON_FORFEITURE,4,2,0,0,True
010436044C,BA,NON_FORFEITURE,4,0,0,0,False
010436082C,BA,NON_FORFEITURE,4,0,0,0,False
010436083C,BA,NON_FORFEITURE,4,0,0,0,False
010436085C,BA,NON_FORFEITURE,1,2,1,1,True
010436406C,BA,NON_FORFEITURE,2,3,2,1,True
010436541C,BA,NON_FORFEITURE,4,0,0,0,False
010436599C,BA,NON_FORFEITURE,4,3,0,0,True
010436691C,BA,NON_FORFEITURE,4,0,0,0,False
010436712C,BA,NON_FORFEITURE,5,3,0,0,True
010436727C,BA,NON_FORFEITURE,4,0,0,0,False
010436782C,BA,NON_FORFEITURE,1,1,1,1,False
010436955C,BA,NON_FORFEITURE,4,0,0,0,False
010436959C,BA,NON_FORFEITURE,4,0,0,0,False
010437076C,BA,NON_FORFEITURE,4,0,0,0,False
010437232C,BA,NON_FORFEITURE,4,0,0,0,False
010437335C,BA,NON_FORFEITURE,4,0,0,0,False
010437794C,BA,NON_FORFEITURE,4,0,0,0,False
010438028C,BA,NON_FORFEITURE,4,2,0,0,True
010438063C,BA,NON_FORFEITURE,4,0,0,0,False
010438073C,BA,NON_FORFEITURE,4,0,0,0,False
010438325C,BA,NON_FORFEITURE,4,0,0,0,False
010438523C,BA,NON_FORFEITURE,4,0,0,0,False
010438524C,BA,NON_FORFEITURE,4,2,0,0,True
010438525C,BA,NON_FORFEITURE,4,2,0,0,True
010438554C,BA,NON_FORFEITURE,4,0,0,0,False
010438556C,BA,NON_FORFEITURE,1,1,1,1,False
010438820C,BA,NON_FORFEITURE,4,0,0,0,False
010438821C,BA,NON_FORFEITURE,4,0,0,0,False
010438861C,BA,NON_FORFEITURE,4,3,0,0,True
010438926C,BA,NON_FORFEITURE,4,0,0,0,False
010438938C,BA,NON_FORFEITURE,4,0,0,0,False
010438942C,BA,NON_FORFEITURE,5,0,0,0,False
010439084C,BA,NON_FORFEITURE,1,1,1,1,False
010439128C,BA,NON_FORFEITURE,4,0,0,0,False
010439156C,BA,NON_FORFEITURE,4,0,0,0,False
010439181C,BA,NON_FORFEITURE,4,3,0,0,True
010439277C,BA,NON_FORFEITURE,1,0,1,1,True
010439435C,BA,NON_FORFEITURE,4,0,0,0,False
010439527C,BA,NON_FORFEITURE,5,0,0,0,False
010439836C,BA,NON_FORFEITURE,1,1,1,1,False
010439999C,BA,NON_FORFEITURE,1,1,1,1,False
010440000C,BA,NON_FORFEITURE,1,0,1,1,True
010440345C,BA,NON_FORFEITURE,4,0,0,0,False
010440370C,BA,NON_FORFEITURE,4,0,0,0,False
010440371C,BA,NON_FORFEITURE,1,0,1,1,True
010440631C,BA,NON_FORFEITURE,5,0,0,0,False
010441082C,BA,NON_FORFEITURE,4,0,0,0,False
010441084C,BA,NON_FORFEITURE,4,0,0,0,False
010441085C,BA,NON_FORFEITURE,4,0,0,0,False
010441927C,BA,NON_FORFEITURE,4,0,0,0,False
010442216C,BA,NON_FORFEITURE,4,0,0,0,False
010442222C,BA,NON_FORFEITURE,4,0,0,0,False
010442230C,BA,NON_FORFEITURE,4,0,0,0,False
010442330C,BA,NON_FORFEITURE,4,0,0,0,False
010442332C,BA,NON_FORFEITURE,4,0,0,0,False
010442551C,BA,NON_FORFEITURE,4,2,0,0,True
010442552C,BA,NON_FORFEITURE,4,0,0,0,False
010442906C,BA,NON_FORFEITURE,1,1,1,1,False
010443032C,BA,NON_FORFEITURE,4,0,0,0,False
010443109C,BA,NON_FORFEITURE,4,0,0,0,False
010443161C,BA,NON_FORFEITURE,4,2,0,0,True
010443287C,BA,NON_FORFEITURE,4,0,0,0,False
010443296C,BA,NON_FORFEITURE,4,0,0,0,False
010443389C,BA,NON_FORFEITURE,4,3,0,0,True
010443432C,BA,NON_FORFEITURE,1,0,1,1,True
010443433C,BA,NON_FORFEITURE,4,3,0,0,True
010443646C,BA,NON_FORFEITURE,4,2,0,0,True
010443816C,BA,NON_FORFEITURE,4,0,0,0,False
010444207C,BA,NON_FORFEITURE,4,0,0,0,False
010444283C,BA,NON_FORFEITURE,4,0,0,0,False
010444917C,BA,NON_FORFEITURE,4,0,0,0,False
010445074C,BA,NON_FORFEITURE,4,0,0,0,False
010445091C,BA,NON_FORFEITURE,5,0,0,0,False
010445131C,BA,NON_FORFEITURE,5,3,0,0,True
010445275C,BA,NON_FORFEITURE,1,1,1,1,False
010445351C,BA,NON_FORFEITURE,4,0,0,0,False
010445575C,BA,NON_FORFEITURE,4,0,0,0,False
010445719C,BA,NON_FORFEITURE,4,0,0,0,False
010446088C,BA,NON_FORFEITURE,1,3,1,1,True
010446237C,BA,NON_FORFEITURE,4,0,0,0,False
010446416C,BA,NON_FORFEITURE,4,0,0,0,False
010446638C,BA,NON_FORFEITURE,4,0,0,0,False
010446741C,BA,NON_FORFEITURE,4,0,0,0,False
010446852C,BA,NON_FORFEITURE,4,0,0,0,False
010447475C,BA,NON_FORFEITURE,4,0,0,0,False
010447559C,BA,NON_FORFEITURE,5,3,0,0,True
010447574C,BA,NON_FORFEITURE,4,0,0,0,False
010448025C,BA,NON_FORFEITURE,4,0,0,0,False
010448181C,BA,NON_FORFEITURE,4,0,0,0,False
010448375C,BA,NON_FORFEITURE,4,2,0,0,True
010448609C,BA,NON_FORFEITURE,4,0,0,0,False
010448806C,BA,NON_FORFEITURE,5,0,0,0,False
010448810C,BA,NON_FORFEITURE,1,0,1,1,True
010448828C,BA,NON_FORFEITURE,1,1,1,1,False
010449013C,BA,NON_FORFEITURE,4,0,0,0,False
010449017C,BA,NON_FORFEITURE,4,3,0,0,True
010449050C,BA,NON_FORFEITURE,5,0,0,0,False
010449074C,BA,NON_FORFEITURE,4,0,0,0,False
010449075C,BA,NON_FORFEITURE,4,0,0,0,False
010449155C,BA,NON_FORFEITURE,4,0,0,0,False
010449158C,BA,NON_FORFEITURE,4,0,0,0,False
010449333C,BA,NON_FORFEITURE,4,0,0,0,False
010449334C,BA,NON_FORFEITURE,4,0,0,0,False
010449417C,BA,NON_FORFEITURE,4,0,0,0,False
010449498C,BA,NON_FORFEITURE,1,1,1,1,False
010449512C,BA,NON_FORFEITURE,4,0,0,0,False
010449514C,BA,NON_FORFEITURE,4,0,0,0,False
010449532C,BA,NON_FORFEITURE,4,2,0,0,True
010449559C,BA,NON_FORFEITURE,4,0,0,0,False
010449959C,BA,NON_FORFEITURE,4,0,0,0,False
010450135C,BA,NON_FORFEITURE,4,0,0,0,False
010450174C,BA,NON_FORFEITURE,4,0,0,0,False
010450300C,BA,NON_FORFEITURE,1,1,1,1,False
010450809C,BA,NON_FORFEITURE,4,0,0,0,False
010450811C,BA,NON_FORFEITURE,4,0,0,0,False
010450906C,BA,NON_FORFEITURE,1,1,1,1,False
010451148C,BA,NON_FORFEITURE,4,0,0,0,False
010451149C,BA,NON_FORFEITURE,4,0,0,0,False
010451215C,BA,NON_FORFEITURE,1,1,1,1,False
010451385C,BA,NON_FORFEITURE,4,3,0,0,True
010451453C,BA,NON_FORFEITURE,5,0,0,0,False
010451596C,BA,NON_FORFEITURE,4,2,0,0,True
010451650C,BA,NON_FORFEITURE,4,0,0,0,False
010452169C,BA,NON_FORFEITURE,4,2,0,0,True
010452304C,BA,NON_FORFEITURE,4,0,0,0,False
010452305C,BA,NON_FORFEITURE,4,0,0,0,False
010452516C,BA,NON_FORFEITURE,4,0,0,0,False
010452575C,BA,NON_FORFEITURE,1,1,1,1,False
010454002C,BA,NON_FORFEITURE,4,0,0,0,False
010454003C,BA,NON_FORFEITURE,4,0,0,0,False
010455341C,BA,NON_FORFEITURE,4,0,0,0,False
010455617C,BA,NON_FORFEITURE,4,0,0,0,False
010455884C,BA,NON_FORFEITURE,4,2,0,0,True
010456114C,BA,NON_FORFEITURE,4,0,0,0,False
010456182C,BA,NON_FORFEITURE,4,2,0,0,True
010456183C,BA,NON_FORFEITURE,4,2,0,0,True
010456184C,BA,NON_FORFEITURE,4,2,0,0,True
010456188C,BA,NON_FORFEITURE,5,3,0,0,True
010456751C,BA,NON_FORFEITURE,4,2,0,0,True
010456928C,BA,NON_FORFEITURE,4,0,0,0,False
010457291C,BA,NON_FORFEITURE,4,0,0,0,False
010457536C,BA,NON_FORFEITURE,4,0,0,0,False
010457537C,BA,NON_FORFEITURE,4,0,0,0,False
010457603C,BA,NON_FORFEITURE,4,0,0,0,False
010457623C,BA,NON_FORFEITURE,1,1,1,1,False
010458190C,BA,NON_FORFEITURE,5,0,0,0,False
010458520C,BA,NON_FORFEITURE,4,0,0,0,False
010458525C,BA,NON_FORFEITURE,4,0,0,0,False
010458526C,BA,NON_FORFEITURE,4,0,0,0,False
010458657C,BA,NON_FORFEITURE,1,1,1,1,False
010458663C,BA,NON_FORFEITURE,4,0,0,0,False
010458744C,BA,NON_FORFEITURE,4,0,0,0,False
010459011C,BA,NON_FORFEITURE,4,0,0,0,False
010459050C,BA,NON_FORFEITURE,5,0,0,0,False
010459164C,BA,NON_FORFEITURE,4,0,0,0,False
010459336C,BA,NON_FORFEITURE,4,0,0,0,False
010459421C,BA,NON_FORFEITURE,4,0,0,0,False
010459527C,BA,NON_FORFEITURE,4,0,0,0,False
010459579C,BA,NON_FORFEITURE,4,2,0,0,True
010459653C,BA,NON_FORFEITURE,4,0,0,0,False
010459723C,BA,NON_FORFEITURE,4,2,0,0,True
010459814C,BA,NON_FORFEITURE,5,0,0,0,False
010459850C,BA,NON_FORFEITURE,4,2,0,0,True
010459970C,BA,NON_FORFEITURE,4,0,0,0,False
010460276C,BA,NON_FORFEITURE,4,2,0,0,True
010460323C,BA,NON_FORFEITURE,1,1,1,1,False
010460406C,BA,NON_FORFEITURE,1,1,1,1,False
010460652C,BA,NON_FORFEITURE,4,0,0,0,False
010460653C,BA,NON_FORFEITURE,4,0,0,0,False
010460886C,BA,NON_FORFEITURE,4,2,0,0,True
010461210C,BA,NON_FORFEITURE,1,1,1,1,False
010461689C,BA,NON_FORFEITURE,4,0,0,0,False
010461753C,BA,NON_FORFEITURE,4,2,0,0,True
010462057C,BA,NON_FORFEITURE,4,0,0,0,False
010462415C,BA,NON_FORFEITURE,4,0,0,0,False
010462630C,BA,NON_FORFEITURE,4,0,0,0,False
010462631C,BA,NON_FORFEITURE,4,2,0,0,True
010462759C,BA,NON_FORFEITURE,1,1,1,1,False
010462839C,BA,NON_FORFEITURE,4,0,0,0,False
010463017C,BA,NON_FORFEITURE,1,1,1,1,False
010463161C,BA,NON_FORFEITURE,1,0,1,1,True
010463190C,BA,NON_FORFEITURE,1,3,1,1,True
010463420C,BA,NON_FORFEITURE,4,0,0,0,False
010463537C,BA,NON_FORFEITURE,1,1,1,1,False
010463553C,BA,NON_FORFEITURE,4,0,0,0,False
010464265C,BA,NON_FORFEITURE,5,0,0,0,False
010464590C,BA,NON_FORFEITURE,4,3,0,0,True
010464869C,BA,NON_FORFEITURE,4,0,0,0,False
010464870C,BA,NON_FORFEITURE,5,0,0,0,False
010465265C,BA,NON_FORFEITURE,4,3,0,0,True
010465331C,BA,NON_FORFEITURE,4,0,0,0,False
010465363C,BA,NON_FORFEITURE,4,0,0,0,False
010465451C,BA,NON_FORFEITURE,4,0,0,0,False
010466391C,BA,NON_FORFEITURE,4,0,0,0,False
010466392C,BA,NON_FORFEITURE,4,0,0,0,False
010466458C,BA,NON_FORFEITURE,4,0,0,0,False
010466470C,BA,NON_FORFEITURE,4,2,0,0,True
010466471C,BA,NON_FORFEITURE,4,2,0,0,True
010466472C,BA,NON_FORFEITURE,4,2,0,0,True
010466473C,BA,NON_FORFEITURE,4,2,0,0,True
010466702C,BA,NON_FORFEITURE,4,0,0,0,False
010466706C,BA,NON_FORFEITURE,4,0,0,0,False
010466978C,BA,NON_FORFEITURE,5,0,0,0,False
010467025C,BA,NON_FORFEITURE,4,0,0,0,False
010467061C,BA,NON_FORFEITURE,1,1,1,1,False
010467154C,BA,NON_FORFEITURE,1,1,1,1,False
010467173C,BA,NON_FORFEITURE,4,0,0,0,False
010467185C,BA,NON_FORFEITURE,4,0,0,0,False
010467190C,BA,NON_FORFEITURE,4,0,0,0,False
010467500C,BA,NON_FORFEITURE,1,1,1,1,False
010467771C,BA,NON_FORFEITURE,4,0,0,0,False
010468945C,BA,NON_FORFEITURE,4,0,0,0,False
