PLAN,TYPE_CODE,ORIGINAL_AGE,EMITTED_AGE,ROW_COUNT
578CTR,PR,106,99,1
578CTR,PR,107,99,1
578CTR,PR,108,99,1
578CTR,PR,109,99,1
578CTR,PR,110,99,1
578CTR,PR,111,99,1
578CTR,PR,112,99,1
578CTR,PR,113,99,1
578CTR,PR,114,99,1
578CTR,PR,115,99,1
578CTR,PR,116,99,1
578CTR,PR,117,99,1
57ATCR,PR,100,99,1
7647FP,PR,100,99,1
7647FP,PR,101,99,1
7647FP,PR,102,99,1
7647FP,PR,103,99,1
7647FP,PR,104,99,1
7647FP,PR,105,99,1
7647FP,PR,106,99,1
7647FP,PR,107,99,1
7647FP,PR,108,99,1
7647FP,PR,109,99,1
7647FP,PR,110,99,1
7647FP,PR,111,99,1
7647FP,PR,112,99,1
7647FP,PR,113,99,1
7647FP,PR,114,99,1
7647FP,PR,115,99,1
7647FP,PR,116,99,1
7647FP,PR,117,99,1
7690DT,PR,100,99,1
7690DT,PR,101,99,1
7690DT,PR,102,99,1
7690DT,PR,103,99,1
7690DT,PR,104,99,1
7690DT,PR,105,99,1
7690DT,PR,106,99,1
7690DT,PR,107,99,1
7690DT,PR,108,99,1
7690DT,PR,109,99,1
7690DT,PR,110,99,1
7690DT,PR,111,99,1
7690DT,PR,112,99,1
7690DT,PR,113,99,1
7690DT,PR,114,99,1
7690DT,PR,115,99,1
7690DT,PR,116,99,1
7690DT,PR,117,99,1
910SWP,PR,100,99,1
910SWP,PR,101,99,1
910SWP,PR,102,99,1
910SWP,PR,103,99,1
910SWP,PR,104,99,1
910SWP,PR,105,99,1
910SWP,PR,106,99,1
910SWP,PR,107,99,1
910SWP,PR,108,99,1
910SWP,PR,109,99,1
910SWP,PR,110,99,1
910SWP,PR,111,99,1
910SWP,PR,112,99,1
910SWP,PR,113,99,1
910SWP,PR,114,99,1
910SWP,PR,115,99,1
910SWP,PR,116,99,1
910SWP,PR,117,99,1
920ADB,PR,100,99,1
920ADB,PR,101,99,1
920ADB,PR,102,99,1
920ADB,PR,103,99,1
920ADB,PR,104,99,1
920ADB,PR,105,99,1
920ADB,PR,106,99,1
920ADB,PR,107,99,1
920ADB,PR,108,99,1
920ADB,PR,109,99,1
920ADB,PR,110,99,1
920ADB,PR,111,99,1
920ADB,PR,112,99,1
920ADB,PR,113,99,1
920ADB,PR,114,99,1
920ADB,PR,115,99,1
920ADB,PR,116,99,1
920ADB,PR,117,99,1
934SWP,PR,100,99,1
934SWP,PR,101,99,1
934SWP,PR,102,99,1
934SWP,PR,103,99,1
934SWP,PR,104,99,1
934SWP,PR,105,99,1
934SWP,PR,106,99,1
934SWP,PR,107,99,1
934SWP,PR,108,99,1
934SWP,PR,109,99,1
934SWP,PR,110,99,1
934SWP,PR,111,99,1
934SWP,PR,112,99,1
934SWP,PR,113,99,1
934SWP,PR,114,99,1
934SWP,PR,115,99,1
934SWP,PR,116,99,1
934SWP,PR,117,99,1
943CWP,PR,100,99,1
943CWP,PR,101,99,1
943CWP,PR,102,99,1
943CWP,PR,103,99,1
943CWP,PR,104,99,1
943CWP,PR,105,99,1
943CWP,PR,106,99,1
943CWP,PR,107,99,1
943CWP,PR,108,99,1
943CWP,PR,109,99,1
943CWP,PR,110,99,1
943CWP,PR,111,99,1
943CWP,PR,112,99,1
943CWP,PR,113,99,1
943CWP,PR,114,99,1
943CWP,PR,115,99,1
943CWP,PR,116,99,1
943CWP,PR,117,99,1
967ADB,PR,100,99,1
967ADB,PR,101,99,1
967ADB,PR,102,99,1
967ADB,PR,103,99,1
967ADB,PR,104,99,1
967ADB,PR,105,99,1
967ADB,PR,106,99,1
967ADB,PR,107,99,1
967ADB,PR,108,99,1
967ADB,PR,109,99,1
967ADB,PR,110,99,1
967ADB,PR,111,99,1
967ADB,PR,112,99,1
967ADB,PR,113,99,1
967ADB,PR,114,99,1
967ADB,PR,115,99,1
967ADB,PR,116,99,1
967ADB,PR,117,99,1
9CDTWP,PR,100,99,1
9CDTWP,PR,101,99,1
9CDTWP,PR,102,99,1
9CDTWP,PR,103,99,1
9CDTWP,PR,104,99,1
9CDTWP,PR,105,99,1
9CDTWP,PR,106,99,1
9CDTWP,PR,107,99,1
9CDTWP,PR,108,99,1
9CDTWP,PR,109,99,1
9CDTWP,PR,110,99,1
9CDTWP,PR,111,99,1
9CDTWP,PR,112,99,1
9CDTWP,PR,113,99,1
9CDTWP,PR,114,99,1
9CDTWP,PR,115,99,1
9CDTWP,PR,116,99,1
9CDTWP,PR,117,99,1
9CTRWP,PR,100,99,1
9CTRWP,PR,101,99,1
9CTRWP,PR,102,99,1
9CTRWP,PR,103,99,1
9CTRWP,PR,104,99,1
9CTRWP,PR,105,99,1
9CTRWP,PR,106,99,1
9CTRWP,PR,107,99,1
9CTRWP,PR,108,99,1
9CTRWP,PR,109,99,1
9CTRWP,PR,110,99,1
9CTRWP,PR,111,99,1
9CTRWP,PR,112,99,1
9CTRWP,PR,113,99,1
9CTRWP,PR,114,99,1
9CTRWP,PR,115,99,1
9CTRWP,PR,116,99,1
9CTRWP,PR,117,99,1
9FTRWP,PR,100,99,1
9FTRWP,PR,101,99,1
9FTRWP,PR,102,99,1
9FTRWP,PR,103,99,1
9FTRWP,PR,104,99,1
9FTRWP,PR,105,99,1
9FTRWP,PR,106,99,1
9FTRWP,PR,107,99,1
9FTRWP,PR,108,99,1
9FTRWP,PR,109,99,1
9FTRWP,PR,110,99,1
9FTRWP,PR,111,99,1
9FTRWP,PR,112,99,1
9FTRWP,PR,113,99,1
9FTRWP,PR,114,99,1
9FTRWP,PR,115,99,1
9FTRWP,PR,116,99,1
9FTRWP,PR,117,99,1
9SLADB,PR,100,99,1
9SLADB,PR,101,99,1
9SLADB,PR,102,99,1
9SLADB,PR,103,99,1
9SLADB,PR,104,99,1
9SLADB,PR,105,99,1
9SLADB,PR,106,99,1
9SLADB,PR,107,99,1
9SLADB,PR,108,99,1
9SLADB,PR,109,99,1
9SLADB,PR,110,99,1
9SLADB,PR,111,99,1
9SLADB,PR,112,99,1
9SLADB,PR,113,99,1
9SLADB,PR,114,99,1
9SLADB,PR,115,99,1
9SLADB,PR,116,99,1
9SLADB,PR,117,99,1
9STRWP,PR,100,99,1
9STRWP,PR,101,99,1
9STRWP,PR,102,99,1
9STRWP,PR,103,99,1
9STRWP,PR,104,99,1
9STRWP,PR,105,99,1
9STRWP,PR,106,99,1
9STRWP,PR,107,99,1
9STRWP,PR,108,99,1
9STRWP,PR,109,99,1
9STRWP,PR,110,99,1
9STRWP,PR,111,99,1
9STRWP,PR,112,99,1
9STRWP,PR,113,99,1
9STRWP,PR,114,99,1
9STRWP,PR,115,99,1
9STRWP,PR,116,99,1
9STRWP,PR,117,99,1
A96DAR,PR,100,99,1
A96DAR,PR,101,99,1
A96DAR,PR,102,99,1
A96DAR,PR,103,99,1
A96DAR,PR,104,99,1
A96DAR,PR,105,99,1
A96DAR,PR,106,99,1
A96DAR,PR,107,99,1
A96DAR,PR,108,99,1
A96DAR,PR,109,99,1
A96DAR,PR,110,99,1
A96DAR,PR,111,99,1
A96DAR,PR,112,99,1
A96DAR,PR,113,99,1
A96DAR,PR,114,99,1
A96DAR,PR,115,99,1
A96DAR,PR,116,99,1
A96DAR,PR,117,99,1
