TABLE_NAME,FIELD_NAME,DATA_TYPE,BUSINESS_MEANING,LIKELY_RUNTIME_USAGE,SOURCE_DEPENDENCY,NOTES
QuikGps,PLAN,"CHAR(6)",Plan code,Lookup root,QUIKPLGP key,LIKELY uniqueness component
QuikGps,GENDER,"CHAR",Gender segment,Segment selector,policy gender,LIKELY uniqueness component (when GDVARYGP=Y)
QuikGps,UWCLASS,"CHAR(2)",UW class segment,Segment selector,policy UW class,LIKELY uniqueness component
QuikGps,BAND,"CHAR(2)",Band segment,Segment selector,policy band,LIKELY uniqueness component
QuikGps,ISSUEST,"CHAR(2)",Issue state segment,Segment selector,policy issue state,LIKELY uniqueness component
QuikGps,EFFDATE,"DATE",Rate generation effective date,Generation selector,rate filing,LIKELY uniqueness component
QuikGps,AGE,"NUM",Issue age (or attained age per VARGP code),Row selector by age,policy issue age,LIKELY; CONFIRMED valuation sorts by issue age
QuikGps,CNTL,"NUM",Duration page control (decade selector),Selects which 10-duration block GP0-GP9 represent,n/a,UNKNOWN - user hypothesis: CNTL=0 -> dur 0-9 CNTL=1 -> 10-19; NOT in manual
QuikGps,GP0..GP9,"NUM(10 cols)",Gross premium factor for durations 0-9 within the CNTL page,Factor retrieval,actuarial rate file,UNKNOWN exact width/precision; user-supplied layout only
QuikCvs,CV0..CV9,"NUM(10 cols)",Cash value factors per duration within CNTL page,Factor retrieval,actuarial rate file,UNKNOWN exact layout; mirrors GP structure (LIKELY)
QuikDbs,DB0..DB9,"NUM(10 cols)",Death benefit factors per duration,Factor retrieval,actuarial rate file,UNKNOWN exact layout
QuikDvs,DV0..DV9,"NUM(10 cols)",Dividend factors per duration,Factor retrieval,actuarial rate file,UNKNOWN exact layout; only when PAR=1
QuikTvs,TV0..TV9,"NUM(10 cols)",Terminal reserve factors per duration,Factor retrieval in valuation,actuarial reserve file,UNKNOWN exact layout; per-plan in V5 (no basis+subplan sharing)
QuikNps,NP0..NP9,"NUM(10 cols)",Net premium factors per duration,Reserve + deficiency calc,actuarial reserve file,UNKNOWN exact layout; coupled with TV
QuikTvs/QUIKPLTV,RSVINT,"NUM",Reserve interest rate,Reserve discounting,actuarial reserve assumption,CONFIRMED concept (Reserve Interest Rate); UNKNOWN which table physically stores it
QuikTvs/QUIKPLTV,RSVMETH,"CHAR/NUM",Reserve method 1 NetLevel 2 FullPrelimTerm 3 CRVM 4 ModifiedRVM,Selects reserve formula,actuarial reserve assumption,CONFIRMED enum (manual p558)
QuikTvs/QUIKPLTV,INTMETHCV,"CHAR/NUM",Cash value interest method,CV calc compounding,actuarial assumption,CONFIRMED concept; UNKNOWN enum
QuikTvs/QUIKPLTV,MORT,"CHAR(2)",Mortality table code reference,Selects QuikQxs qx set,Mortality Table Codes appendix,CONFIRMED mortality-code system; code list confirmed (p651-656)
QuikTvs/QUIKPLTV,ETIMORT,"CHAR(2)",ETI (extended term) mortality table code,Selects qx for ETI NFO calc,Mortality Table Codes appendix,CONFIRMED ETI mortality stored behind Cash Values button (p543); code = appendix
QuikTvs/QUIKPLTV,STOREMEANS,"CHAR/LOGICAL",Store mean reserves flag (mean vs terminal storage),Controls whether mean reserves are stored/used,n/a,UNKNOWN - not in manual extract; LIKELY mean-reserve storage option requires SME confirmation
QuikTvs/QUIKPLTV,CALCMIDS,"CHAR/LOGICAL",Calculate mid-terminal / interpolated reserves flag,Controls mid-year reserve interpolation,n/a,UNKNOWN - not in manual extract; LIKELY mid-terminal reserve calc flag requires SME confirmation
