generation_status,prototype_claimnum,reconstructed_claim_id,derivation_candidate_id,enhanced_settlement_group_id,claim_family,derivation_confidence,target_table,production_dbf_flag,record_type,canonical_payment_stage_id,rejection_reason
ACCEPTED,CLM0000035,RC-9010380049-1-SURRENDER_CLAIM-C3-20211113,QDC-RC-9010380049-1-SURRENDER_CLAIM-C3-20211113,ESG-9010380049-RC-9010380049-1-SURRENDER_CLAIM-C3-20211113-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000036,RC-9010380049-1-SURRENDER_CLAIM-C4-20221113,QDC-RC-9010380049-1-SURRENDER_CLAIM-C4-20221113,ESG-9010380049-RC-9010380049-1-SURRENDER_CLAIM-C4-20221113-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000037,RC-9010380049-1-SURRENDER_CLAIM-C5-20231113,QDC-RC-9010380049-1-SURRENDER_CLAIM-C5-20231113,ESG-9010380049-RC-9010380049-1-SURRENDER_CLAIM-C5-20231113-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000038,RC-9010380049-1-SURRENDER_CLAIM-C6-20241113,QDC-RC-9010380049-1-SURRENDER_CLAIM-C6-20241113,ESG-9010380049-RC-9010380049-1-SURRENDER_CLAIM-C6-20241113-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000039,RC-9010380049-1-SURRENDER_CLAIM-C7-20251113,QDC-RC-9010380049-1-SURRENDER_CLAIM-C7-20251113,ESG-9010380049-RC-9010380049-1-SURRENDER_CLAIM-C7-20251113-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000040,RC-9010380627-1-SURRENDER_CLAIM-C0-20181125,QDC-RC-9010380627-1-SURRENDER_CLAIM-C0-20181125,ESG-9010380627-RC-9010380627-1-SURRENDER_CLAIM-C0-20181125-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000041,RC-9010380627-1-SURRENDER_CLAIM-C1-20190813,QDC-RC-9010380627-1-SURRENDER_CLAIM-C1-20190813,ESG-9010380627-RC-9010380627-1-SURRENDER_CLAIM-C1-20190813-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000042,RC-9010380627-1-SURRENDER_CLAIM-C10-20251125,QDC-RC-9010380627-1-SURRENDER_CLAIM-C10-20251125,ESG-9010380627-RC-9010380627-1-SURRENDER_CLAIM-C10-20251125-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000043,RC-9010380627-1-SURRENDER_CLAIM-C2-20191125,QDC-RC-9010380627-1-SURRENDER_CLAIM-C2-20191125,ESG-9010380627-RC-9010380627-1-SURRENDER_CLAIM-C2-20191125-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000044,RC-9010380627-1-SURRENDER_CLAIM-C3-20200825,QDC-RC-9010380627-1-SURRENDER_CLAIM-C3-20200825,ESG-9010380627-RC-9010380627-1-SURRENDER_CLAIM-C3-20200825-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000045,RC-9010380627-1-SURRENDER_CLAIM-C4-20201125,QDC-RC-9010380627-1-SURRENDER_CLAIM-C4-20201125,ESG-9010380627-RC-9010380627-1-SURRENDER_CLAIM-C4-20201125-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000046,RC-9010380627-1-SURRENDER_CLAIM-C5-20211125,QDC-RC-9010380627-1-SURRENDER_CLAIM-C5-20211125,ESG-9010380627-RC-9010380627-1-SURRENDER_CLAIM-C5-20211125-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000047,RC-9010380627-1-SURRENDER_CLAIM-C6-20230825,QDC-RC-9010380627-1-SURRENDER_CLAIM-C6-20230825,ESG-9010380627-RC-9010380627-1-SURRENDER_CLAIM-C6-20230825-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000048,RC-9010380627-1-SURRENDER_CLAIM-C7-20231125,QDC-RC-9010380627-1-SURRENDER_CLAIM-C7-20231125,ESG-9010380627-RC-9010380627-1-SURRENDER_CLAIM-C7-20231125-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000049,RC-9010380627-1-SURRENDER_CLAIM-C8-20240814,QDC-RC-9010380627-1-SURRENDER_CLAIM-C8-20240814,ESG-9010380627-RC-9010380627-1-SURRENDER_CLAIM-C8-20240814-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000050,RC-9010380627-1-SURRENDER_CLAIM-C9-20241120,QDC-RC-9010380627-1-SURRENDER_CLAIM-C9-20241120,ESG-9010380627-RC-9010380627-1-SURRENDER_CLAIM-C9-20241120-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000051,RC-9010381745-1-SURRENDER_CLAIM-C0-20180101,QDC-RC-9010381745-1-SURRENDER_CLAIM-C0-20180101,ESG-9010381745-RC-9010381745-1-SURRENDER_CLAIM-C0-20180101-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000052,RC-9010381745-1-SURRENDER_CLAIM-C1-20190101,QDC-RC-9010381745-1-SURRENDER_CLAIM-C1-20190101,ESG-9010381745-RC-9010381745-1-SURRENDER_CLAIM-C1-20190101-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000053,RC-9010382426-1-SURRENDER_CLAIM-C0-20180112,QDC-RC-9010382426-1-SURRENDER_CLAIM-C0-20180112,ESG-9010382426-RC-9010382426-1-SURRENDER_CLAIM-C0-20180112-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000054,RC-9010382426-1-SURRENDER_CLAIM-C1-20180404,QDC-RC-9010382426-1-SURRENDER_CLAIM-C1-20180404,ESG-9010382426-RC-9010382426-1-SURRENDER_CLAIM-C1-20180404-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000055,RC-9010382426-1-SURRENDER_CLAIM-C10-20230112,QDC-RC-9010382426-1-SURRENDER_CLAIM-C10-20230112,ESG-9010382426-RC-9010382426-1-SURRENDER_CLAIM-C10-20230112-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000056,RC-9010382426-1-SURRENDER_CLAIM-C11-20230322,QDC-RC-9010382426-1-SURRENDER_CLAIM-C11-20230322,ESG-9010382426-RC-9010382426-1-SURRENDER_CLAIM-C11-20230322-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000057,RC-9010382426-1-SURRENDER_CLAIM-C12-20240112,QDC-RC-9010382426-1-SURRENDER_CLAIM-C12-20240112,ESG-9010382426-RC-9010382426-1-SURRENDER_CLAIM-C12-20240112-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000058,RC-9010382426-1-SURRENDER_CLAIM-C13-20250112,QDC-RC-9010382426-1-SURRENDER_CLAIM-C13-20250112,ESG-9010382426-RC-9010382426-1-SURRENDER_CLAIM-C13-20250112-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000059,RC-9010382426-1-SURRENDER_CLAIM-C14-20260112,QDC-RC-9010382426-1-SURRENDER_CLAIM-C14-20260112,ESG-9010382426-RC-9010382426-1-SURRENDER_CLAIM-C14-20260112-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000060,RC-9010382426-1-SURRENDER_CLAIM-C2-20190112,QDC-RC-9010382426-1-SURRENDER_CLAIM-C2-20190112,ESG-9010382426-RC-9010382426-1-SURRENDER_CLAIM-C2-20190112-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000061,RC-9010382426-1-SURRENDER_CLAIM-C3-20190405,QDC-RC-9010382426-1-SURRENDER_CLAIM-C3-20190405,ESG-9010382426-RC-9010382426-1-SURRENDER_CLAIM-C3-20190405-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000062,RC-9010382426-1-SURRENDER_CLAIM-C4-20200112,QDC-RC-9010382426-1-SURRENDER_CLAIM-C4-20200112,ESG-9010382426-RC-9010382426-1-SURRENDER_CLAIM-C4-20200112-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000063,RC-9010382426-1-SURRENDER_CLAIM-C5-20200412,QDC-RC-9010382426-1-SURRENDER_CLAIM-C5-20200412,ESG-9010382426-RC-9010382426-1-SURRENDER_CLAIM-C5-20200412-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000064,RC-9010382426-1-SURRENDER_CLAIM-C6-20210112,QDC-RC-9010382426-1-SURRENDER_CLAIM-C6-20210112,ESG-9010382426-RC-9010382426-1-SURRENDER_CLAIM-C6-20210112-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000065,RC-9010382426-1-SURRENDER_CLAIM-C7-20210322,QDC-RC-9010382426-1-SURRENDER_CLAIM-C7-20210322,ESG-9010382426-RC-9010382426-1-SURRENDER_CLAIM-C7-20210322-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000066,RC-9010382426-1-SURRENDER_CLAIM-C8-20220112,QDC-RC-9010382426-1-SURRENDER_CLAIM-C8-20220112,ESG-9010382426-RC-9010382426-1-SURRENDER_CLAIM-C8-20220112-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000067,RC-9010382426-1-SURRENDER_CLAIM-C9-20220412,QDC-RC-9010382426-1-SURRENDER_CLAIM-C9-20220412,ESG-9010382426-RC-9010382426-1-SURRENDER_CLAIM-C9-20220412-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000068,RC-9010382931-1-SURRENDER_CLAIM-C0-20180115,QDC-RC-9010382931-1-SURRENDER_CLAIM-C0-20180115,ESG-9010382931-RC-9010382931-1-SURRENDER_CLAIM-C0-20180115-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000069,RC-9010382931-1-SURRENDER_CLAIM-C1-20190117,QDC-RC-9010382931-1-SURRENDER_CLAIM-C1-20190117,ESG-9010382931-RC-9010382931-1-SURRENDER_CLAIM-C1-20190117-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000070,RC-9010382931-1-SURRENDER_CLAIM-C2-20200117,QDC-RC-9010382931-1-SURRENDER_CLAIM-C2-20200117,ESG-9010382931-RC-9010382931-1-SURRENDER_CLAIM-C2-20200117-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000071,RC-9010382931-1-SURRENDER_CLAIM-C3-20210114,QDC-RC-9010382931-1-SURRENDER_CLAIM-C3-20210114,ESG-9010382931-RC-9010382931-1-SURRENDER_CLAIM-C3-20210114-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000072,RC-9010382931-1-SURRENDER_CLAIM-C4-20220117,QDC-RC-9010382931-1-SURRENDER_CLAIM-C4-20220117,ESG-9010382931-RC-9010382931-1-SURRENDER_CLAIM-C4-20220117-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000073,RC-9010385636-1-SURRENDER_CLAIM-C0-20180209,QDC-RC-9010385636-1-SURRENDER_CLAIM-C0-20180209,ESG-9010385636-RC-9010385636-1-SURRENDER_CLAIM-C0-20180209-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000074,RC-9010391004-1-SURRENDER_CLAIM-C0-20180501,QDC-RC-9010391004-1-SURRENDER_CLAIM-C0-20180501,ESG-9010391004-RC-9010391004-1-SURRENDER_CLAIM-C0-20180501-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
ACCEPTED,CLM0000075,RC-9010391004-1-SURRENDER_CLAIM-C1-20190501,QDC-RC-9010391004-1-SURRENDER_CLAIM-C1-20190501,ESG-9010391004-RC-9010391004-1-SURRENDER_CLAIM-C1-20190501-SOLO,SURRENDER_CLAIM,HIGH_CONFIDENCE,QUIKCLMS_PROTOTYPE.DBF,N,CLAIM,,
