WL,PdUp65,Pay20,WLCashValueIn10,WLCashValueIn20,WLCashValueAt65,WLPaidUpIn10,WLPaidUpIn20,WLPaidUpAt65,PdUp65CashValueIn10,PdUp65CashValueIn20,PdUp65CashValueAt65,PdUp65PaidUpIn10,PdUp65PaidUpIn20,PdUp65PaidUpAt65,Pay20CashValueIn10,Pay20CashValueIn20,Pay20CashValueAt65,Pay20PaidUpIn10,Pay20PaidUpIn20,Pay20PaidUpAt65,MaleWOP,FemaleWOP,Age
12.56000042,15.31000042,19.61000061,54,159,474,264,543,850,61,178,558,299,608,1000,103,293,558,504,1000,1000,0.3300000131,0.4900000095,24
13,15.84000015,20,58,167,471,274,551,845,65,187,558,307,617,1000,108,304,558,509,1000,1000,0.3400000036,0.5,25
13.46000004,16.40999985,20.44000053,61,174,468,278,555,840,69,196,558,314,625,1000,112,314,558,509,1000,1000,0.349999994,0.5199999809,26
13.94999981,16.98999977,20.89999962,65,181,464,285,558,832,74,206,558,325,635,1000,117,325,558,513,1000,1000,0.3700000048,0.5400000215,27
14.46000004,17.59000015,21.37999916,68,189,460,288,564,825,78,216,558,330,644,1000,121,336,558,511,1000,1000,0.3799999952,0.5600000024,28
14.97999954,18.20999908,21.88999939,72,197,456,294,568,818,83,227,558,339,655,1000,126,347,558,514,1000,1000,0.400000006,0.5799999833,29
6.639999866,7.730000019,12.47999954,19,61,518,190,440,929,20,64,558,200,462,1000,48,139,558,480,1000,1000,,,3
15.5,18.84000015,22.42000008,75,204,452,295,569,811,87,238,558,342,664,1000,131,359,558,515,1000,1000,0.4199999869,0.6100000143,30
16.02000046,19.47999954,22.96999931,79,213,447,300,575,802,92,250,558,349,675,1000,136,371,558,516,1000,1000,0.4399999976,0.6299999952,31
16.54000092,20.12999916,23.54000092,83,221,442,304,578,793,98,263,558,359,688,1000,141,383,558,517,1000,1000,0.4600000083,0.6600000262,32
17.07999992,20.81999969,24.13999939,86,229,437,304,580,784,103,276,558,365,699,1000,146,396,558,517,1000,1000,0.4900000095,0.6999999881,33
17.63999939,21.54999924,24.77000046,90,238,431,308,584,773,109,290,558,373,712,1000,151,408,558,516,1000,1000,0.5199999809,0.7400000095,34
18.25,22.31999969,25.43000031,94,247,425,311,588,762,115,305,558,380,726,1000,156,421,558,515,1000,1000,0.5500000119,0.7799999714,35
18.92000008,23.12999916,26.12000084,98,256,419,313,591,752,121,322,558,386,743,1000,161,434,558,514,1000,1000,0.5799999833,0.8299999833,36
19.62999916,23.98999977,26.81999969,102,265,413,315,594,741,128,339,558,395,760,1000,166,447,558,512,1000,1000,0.6200000048,0.8799999952,37
20.37999916,24.92000008,27.55999947,107,274,406,319,596,728,136,358,558,406,779,1000,171,460,558,510,1000,1000,0.6600000262,0.9300000072,38
21.12999916,25.95000076,28.34000015,111,283,398,320,598,714,144,378,558,416,799,1000,177,474,558,511,1000,1000,0.7099999785,1,39
6.820000172,7.929999828,12.72999954,20,63,517,193,440,927,21,67,558,203,468,1000,50,144,558,482,1000,1000,,,4
21.87000084,27.05999947,29.12999916,116,293,390,324,602,700,153,401,558,427,824,1000,182,488,558,508,1000,1000,0.7599999905,1.059999943,40
22.56999969,28.26000023,29.96999931,120,303,382,324,605,685,162,426,558,438,851,1000,188,502,558,508,1000,1000,0.8199999928,1.149999976,41
23.23999977,29.61000061,30.82999992,125,313,374,327,608,671,173,453,558,453,880,1000,194,516,558,508,1000,1000,0.8799999952,1.24000001,42
23.94000053,31.07999992,31.72999954,130,324,364,330,613,653,184,484,558,466,915,1000,200,530,558,507,1000,1000,0.9599999785,1.340000033,43
24.69000053,32.31999969,32.66999817,136,334,355,334,615,637,197,519,558,484,955,1000,205,544,558,503,1000,1000,1.039999962,1.450000048,44
25.55999947,33.63999939,33.63999939,141,345,345,336,619,619,211,558,558,502,1000,1000,211,558,558,502,1000,1000,1.129999995,1.580000043,45
26.56999969,36.18000031,34.65000153,146,355,334,337,621,599,227,572,558,524,1000,1000,217,572,530,501,1000,951,1.230000019,1.720000029,46
27.68000031,38.06000137,35.68999863,152,366,322,341,625,578,245,587,558,549,1000,1000,223,587,502,500,1000,901,1.350000024,1.889999986,47
28.87000084,40.04999924,36.77999878,157,377,310,342,626,556,265,601,558,577,1000,1000,228,601,474,496,1000,850,1.49000001,2.069999933,48
30.06999969,42.18999863,37.90000153,163,388,297,345,632,533,288,615,558,609,1000,1000,234,615,445,495,1000,798,1.639999986,2.289999962,49
7,8.149999619,12.98999977,21,66,515,196,446,924,23,70,558,215,473,1000,52,149,558,485,1000,1000,,,5
31.27000046,44.47999954,39.08000183,169,399,283,347,635,508,315,629,558,647,1000,1000,240,629,416,493,1000,746,1.820000052,2.539999962,50
32.40000153,46.90999985,40.29999924,175,410,269,350,638,483,347,644,558,693,1000,1000,245,644,387,489,1000,694,,,51
33.47999954,49.27999878,41.58000183,181,421,253,352,641,454,385,658,558,748,1000,1000,251,658,357,488,1000,641,,,52
34.61000061,52.18000031,42.90999985,187,432,236,354,644,424,432,672,558,817,1000,1000,256,672,327,484,1000,587,,,53
35.86000061,55.06000137,44.31000137,194,443,219,357,648,393,488,685,558,898,1000,1000,261,685,297,481,1000,533,,,54
37.31000137,58.11999893,45.77000046,200,454,200,359,651,359,558,698,558,1000,1000,1000,267,698,267,479,1000,479,,,55
38.95000076,,47.29000092,206,464,180,361,653,323,572,711,558,1000,1000,1000,271,711,235,474,1000,422,,,56
40.70999908,,48.88999939,213,474,159,364,656,286,587,724,558,1000,1000,1000,276,724,204,471,1000,366,,,57
42.63000107,,50.56000137,219,483,136,365,657,244,601,736,558,1000,1000,1000,281,736,173,469,1000,311,,,58
44.75999832,,52.31999969,226,492,111,368,659,200,615,748,558,1000,1000,1000,287,748,142,467,1000,255,,,59
7.199999809,8.399999619,13.27000046,23,69,514,208,450,922,24,73,558,217,476,1000,54,154,558,487,1000,1000,,,6
47.11999893,,54.43999863,233,502,86,371,662,155,629,759,558,1000,1000,1000,293,759,110,466,1000,198,,,60
49.68999863,,56.75,242,512,61,377,665,110,644,771,558,1000,1000,1000,299,771,78,465,1000,140,,,61
52.45000076,,59.22999954,251,523,34,382,670,61,658,782,558,1000,1000,1000,305,782,45,465,1000,81,,,62
55.43999863,,61.88000107,260,533,5,388,673,9,672,793,558,1000,1000,1000,311,793,12,464,1000,22,,,63
58.68999863,,64.72000122,268,542,0,392,676,0,685,803,558,1000,1000,1000,316,803,0,462,1000,0,,,64
62.25999832,,67.76999664,276,551,0,396,679,0,0,0,558,1000,1000,1000,321,813,0,460,1000,0,,,65
66.11000061,,,284,559,0,400,681,0,0,0,558,1000,1000,1000,325,822,0,458,1000,0,,,66
70.22000122,,,291,566,0,403,682,0,0,0,558,1000,1000,1000,329,831,0,455,1000,0,,,67
74.62999725,,,298,573,0,406,684,0,0,0,558,1000,1000,1000,332,839,0,452,1000,0,,,68
79.37999725,,,305,580,0,409,685,0,0,0,558,1000,1000,1000,336,848,0,450,1000,0,,,69
7.400000095,8.659999847,13.56999969,24,72,512,210,454,918,25,76,558,218,479,1000,56,159,558,489,1000,1000,,,7
84.51999664,,,312,587,0,412,687,0,0,0,558,1000,1000,1000,339,856,0,447,1000,0,,,70
90.08999634,,,318,595,0,413,690,0,0,0,558,1000,1000,1000,342,864,0,444,1000,0,,,71
96.12000275,,,325,605,0,416,694,0,0,0,558,1000,1000,1000,345,872,0,442,1000,0,,,72
102.6399994,,,331,617,0,418,701,0,0,0,558,1000,1000,1000,349,882,0,441,1000,0,,,73
109.6800003,,,337,635,0,420,713,0,0,0,558,1000,1000,1000,351,892,0,438,1000,0,,,74
117.2799988,,,342,658,0,421,730,0,0,0,558,1000,1000,1000,354,903,0,436,1000,0,,,75
7.619999886,8.93999958,13.86999989,24,75,511,203,456,917,26,80,558,220,487,1000,57,165,558,482,1000,1000,,,8
7.860000134,9.239999771,14.18999958,25,79,509,205,464,913,27,84,558,221,493,1000,59,171,558,483,1000,1000,,,9
