K10,K25,K50,K100,K250,K500,WOP,Age,Sex
4.309999943,2.720000029,2.230000019,1.99000001,1.879999995,1.809999943,0.1700000018,30,Male
4.289999962,2.700000048,2.200000048,1.929999948,1.799999952,1.720000029,0.2399999946,31,Female
4.320000172,2.74000001,2.25999999,2.019999981,1.909999967,1.840000033,0.1800000072,31,Male
4.300000191,2.720000029,2.230000019,1.970000029,1.840000033,1.75999999,0.25,32,Female
4.340000153,2.769999981,2.299999952,2.069999933,1.960000038,1.889999986,0.1800000072,32,Male
4.309999943,2.75,2.25999999,2.00999999,1.879999995,1.799999952,0.2599999905,33,Female
4.360000134,2.819999933,2.359999895,2.130000114,2.019999981,1.950000048,0.1899999976,33,Male
4.320000172,2.779999971,2.309999943,2.049999952,1.929999948,1.840000033,0.2800000012,34,Female
4.400000095,2.890000105,2.440000057,2.210000038,2.109999895,2.029999971,0.200000003,34,Male
4.329999924,2.829999924,2.359999895,2.109999895,1.99000001,1.899999976,0.2899999917,35,Female
4.460000038,2.980000019,2.539999962,2.319999933,2.220000029,2.140000105,0.2099999934,35,Male
4.349999905,2.880000114,2.430000067,2.180000067,2.059999943,1.970000029,0.3100000024,36,Female
4.53000021,3.099999905,2.670000076,2.450000048,2.349999905,2.25999999,0.2199999988,36,Male
4.369999886,2.950000048,2.5,2.25999999,2.140000105,2.039999962,0.3300000131,37,Female
4.639999866,3.24000001,2.809999943,2.589999914,2.5,2.410000086,0.2399999946,37,Male
4.409999847,3.029999971,2.589999914,2.339999914,2.230000019,2.119999886,0.3600000143,38,Female
4.769999981,3.400000095,2.980000019,2.75999999,2.670000076,2.569999933,0.25,38,Male
4.46999979,3.119999886,2.579999924,2.440000057,2.319999933,2.220000029,0.3899999857,39,Female
4.920000076,3.589999914,3.160000086,2.950000048,2.859999895,2.75999999,0.2700000107,39,Male
4.550000191,3.220000029,2.779999971,2.549999952,2.440000057,2.319999933,0.4199999869,40,Female
5.110000134,3.789999962,3.369999886,3.170000076,3.079999924,2.970000029,0.3000000119,40,Male
4.659999847,3.339999914,2.910000086,2.680000067,2.569999933,2.450000048,0.4600000083,41,Female
5.340000153,4.03000021,3.609999895,3.410000086,3.319999933,3.220000029,0.3300000131,41,Male
4.800000191,3.49000001,3.059999943,2.829999924,2.730000019,2.599999905,0.5,42,Female
5.610000134,4.300000191,3.890000105,3.690000057,3.609999895,3.49000001,0.3600000143,42,Male
4.960000038,3.660000086,3.24000001,3.00999999,2.910000086,2.779999971,0.5500000119,43,Female
5.920000076,4.619999886,4.210000038,4.019999981,3.940000057,3.809999943,0.400000006,43,Male
5.170000076,3.869999886,3.440000057,3.220000029,3.119999886,2.980000019,0.6100000143,44,Female
6.289999962,4.989999771,4.590000153,4.389999866,4.309999943,4.179999828,0.4600000083,44,Male
5.409999847,4.110000134,3.690000057,3.470000029,3.380000114,3.230000019,0.6700000167,45,Female
6.71999979,5.409999847,5.010000229,4.820000172,4.739999771,4.599999905,0.5199999809,45,Male
5.710000038,4.409999847,3.99000001,3.769999981,3.680000067,3.519999981,0.75,46,Female
7.199999809,5.900000095,5.5,5.309999943,5.230000019,5.079999924,0.6100000143,46,Male
6.059999943,4.760000229,4.340000153,4.119999886,4.03000021,3.859999895,0.8500000238,47,Female
7.739999771,6.440000057,6.039999962,5.849999905,5.78000021,5.610000134,0.7099999785,47,Male
6.46999979,5.170000076,4.75,4.53000021,4.429999828,4.25,0.9700000286,48,Female
8.340000153,7.039999962,6.639999866,6.449999809,6.380000114,6.199999809,0.8299999833,48,Male
6.920000076,5.619999886,5.199999809,5.980000019,4.889999866,4.690000057,1.120000005,49,Female
9,7.699999809,7.300000191,7.110000134,7.039999962,6.849999905,0.9800000191,49,Male
7.409999847,6.110000134,5.690000057,5.46999979,5.380000114,5.170000076,1.279999971,50,Female
9.720000267,8.420000076,8.020000458,7.829999924,7.760000229,7.550000191,1.129999995,50,Male
7.949999809,6.650000095,6.230000019,6.010000229,5.920000076,5.690000057,1.450000048,51,Female
10.48999977,9.18999958,8.789999962,8.600000381,8.529999733,8.300000191,1.289999962,51,Male
8.520000458,7.21999979,6.800000191,6.579999924,6.489999771,6.25,1.639999986,52,Female
11.31999969,10.02000046,9.619999886,9.430000305,9.359999657,9.119999886,1.480000019,52,Male
9.140000343,7.840000153,7.420000076,7.199999809,7.110000134,6.849999905,1.870000005,53,Female
12.22000027,10.92000008,10.52000046,10.32999992,10.26000023,10.01000023,1.710000038,53,Male
9.180000305,8.510000229,8.090000153,7.869999886,7.78000021,7.510000229,2.160000086,54,Female
13.18000031,11.88000011,11.47999954,11.28999996,11.22000027,10.96000004,2,54,Male
10.52999973,9.229999542,8.81000042,8.590000153,8.5,8.220000267,2.700000048,55,Female
14.22999954,12.93000031,12.52999973,12.34000015,12.27000046,11.98999977,2.5,55,Male
11.31999969,10.02000046,9.600000381,9.380000114,9.289999962,8.979999542,2.890000105,56,Female
15.38000011,14.07999992,13.68000031,13.48999977,13.42000008,13.10999966,2.720000029,56,Male
12.18999958,10.89000034,10.47000027,10.25,10.15999985,9.819999695,2.849999905,57,Female
16.62999916,15.32999992,14.93000031,14.73999977,14.67000008,14.34000015,2.720000029,57,Male
13.14999962,11.85000038,11.43000031,11.21000004,11.11999989,10.73999977,2.670000076,58,Female
18.02000046,16.71999931,16.31999969,16.12999916,16.05999947,15.68999958,2.569999933,58,Male
14.21000004,12.90999985,12.48999977,12.27000046,12.18000031,11.76000023,2.329999924,59,Female
19.54999924,18.25,17.85000038,17.65999985,17.59000015,17.19000053,2.289999962,59,Male
15.38000011,14.07999992,13.65999985,13.43999958,13.35000038,12.89999962,1.799999952,60,Female
21.26000023,19.95999908,19.55999947,19.37000084,19.29999924,18.85000038,1.799999952,60,Male
16.02000046,14.72000027,14.30000019,14.07999992,13.98999977,13.51000023,1.799999952,61,Female
22.17000008,20.87000084,20.46999931,20.28000069,20.20999908,19.73999977,1.799999952,61,Male
16.68000031,15.38000011,14.96000004,14.73999977,14.64999962,14.14999962,1.799999952,62,Female
23.13999939,21.84000015,21.44000053,21.25,21.18000031,20.69000053,1.799999952,62,Male
17.38999939,16.09000015,15.67000008,15.44999981,15.35999966,14.84000015,1.799999952,63,Female
24.15999985,22.86000061,22.45999908,22.27000046,22.20000076,21.69000053,1.799999952,63,Male
18.13999939,16.84000015,16.42000008,16.20000076,16.11000061,15.56999969,1.799999952,64,Female
25.23999977,23.94000053,23.54000092,23.35000038,23.28000069,22.75,1.799999952,64,Male
